,city_st,lat,lng,population
115,"Oxnard,CA",34.1963,-119.1815,387647
116,"Scranton,PA",41.4044,-75.6649,384250
117,"Modesto,CA",37.6374,-121.0028,383134
118,"Kissimmee,FL",28.3042,-81.4164,382720
119,"Aurora,CO",39.7087,-104.7273,379289
120,"Youngstown,OH",41.0993,-80.6463,378732
121,"Fayetteville,AR",36.0713,-94.166,351246
122,"Anaheim,CA",33.839,-117.8572,350365
123,"Pensacola,FL",30.4427,-87.1886,346921
124,"Victorville,CA",34.5277,-117.3536,346789
125,"Lancaster,CA",34.6935,-118.1753,343304
126,"Greensboro,NC",36.0956,-79.8269,343090
127,"Corpus Christi,TX",27.726,-97.3755,342464
128,"Fort Wayne,IN",41.0886,-85.1437,334122
129,"Santa Ana,CA",33.7366,-117.8819,332318
130,"Flint,MI",43.0235,-83.6922,332190
131,"Fayetteville,NC",35.0846,-78.9776,327435
132,"Jackson,MS",32.3163,-90.2124,325350
133,"Santa Rosa,CA",38.4458,-122.7067,324634
134,"Lansing,MI",42.7142,-84.5601,324286
135,"San Juan,PR",18.4037,-66.0636,323279
136,"Lexington,KY",38.0423,-84.4587,323152
137,"Ann Arbor,MI",42.2755,-83.7312,322267
138,"Henderson,NV",36.0133,-115.038,320189
139,"Huntsville,AL",34.6988,-86.6412,319249
140,"Mobile,AL",30.6783,-88.1162,315502
141,"Fort Collins,CO",40.5478,-105.0656,312666
142,"Asheville,NC",35.5704,-82.5536,312507
143,"Santa Clarita,CA",34.4175,-118.4964,312446
144,"St. Paul,MN",44.9477,-93.104,308096
145,"Antioch,CA",37.9789,-121.7958,302419
146,"Lakeland,FL",28.0556,-81.9545,302284
147,"Trenton,NJ",40.2236,-74.7641,290716
148,"Lincoln,NE",40.809,-96.6788,289490
149,"Springfield,MO",37.1943,-93.2916,288090
150,"Anchorage,AK",61.1508,-149.1091,288000
151,"Plano,TX",33.0502,-96.7487,287677
152,"Irvine,CA",33.6772,-117.7738,287401
153,"Davenport,IA",41.5563,-90.6052,285362
154,"Rockford,IL",42.2597,-89.0641,282762
155,"Newark,NJ",40.7245,-74.1725,282011
156,"South Bend,IN",41.6767,-86.2696,280498
157,"Shreveport,LA",32.4656,-93.7956,280062
158,"Round Lake Beach,IL",42.379,-88.0811,279381
159,"Savannah,GA",32.0281,-81.1784,276295
160,"Myrtle Beach,SC",33.7096,-78.8843,275579
161,"Chula Vista,CA",32.6281,-117.0145,274492
162,"Eugene,OR",44.0563,-123.1173,273439
163,"Canton,OH",40.8075,-81.3677,269418
164,"Lubbock,TX",33.5659,-101.8878,267648
165,"Reading,PA",40.34,-75.9267,267155
166,"Winter Haven,FL",28.0118,-81.7017,267069
167,"Salem,OR",44.9231,-123.0246,266804
168,"St. Petersburg,FL",27.7931,-82.6652,265351
169,"Lafayette,LA",30.2084,-92.0323,264357
170,"Laredo,TX",27.5629,-99.4875,262491
171,"Jersey City,NJ",40.7161,-74.0682,262075
172,"Concord,NC",35.3933,-80.6366,261801
173,"Columbus,GA",32.51,-84.8771,261445
174,"Chandler,AZ",33.2826,-111.8516,261165
175,"McKinney,TX",33.2015,-96.6669,258277
176,"Scottsdale,AZ",33.6872,-111.8651,258069
177,"Killeen,TX",31.0754,-97.7296,258009
178,"Tallahassee,FL",30.4551,-84.2526,257601
179,"Peoria,IL",40.752,-89.6153,256286
180,"Wilmington,NC",34.21,-77.8866,255616
181,"Montgomery,AL",32.3473,-86.2666,254634
182,"Gilbert,AZ",33.3101,-111.7463,254114
183,"Glendale,AZ",33.5791,-112.2311,252381
184,"North Las Vegas,NV",36.288,-115.0901,251974
185,"Chesapeake,VA",36.6778,-76.3024,244835
186,"Barnstable,MA",41.6722,-70.3599,242847
187,"Norfolk,VA",36.8945,-76.259,242742
188,"Fremont,CA",37.5265,-121.9852,241110
189,"Kennewick,WA",46.1978,-119.1732,240735
190,"Garland,TX",32.91,-96.6305,239928
191,"Irving,TX",32.8584,-96.9702,239798
192,"Visalia,CA",36.3276,-119.3269,237386
193,"Atlantic City,NJ",39.3797,-74.4527,237054
194,"Paradise,NV",36.0807,-115.1369,235087
195,"Nashua,NH",42.7491,-71.491,233917
196,"Arlington,VA",38.8786,-77.1011,233464
197,"Hialeah,FL",25.8696,-80.3046,233339
198,"York,PA",39.9651,-76.7315,233184
199,"Evansville,IN",37.9881,-87.5341,230427
200,"Avondale,AZ",33.3858,-112.3236,227289
201,"Brownsville,TX",25.998,-97.4565,227239
202,"Gulfport,MS",30.4271,-89.0703,220987
203,"Appleton,WI",44.2779,-88.3891,220570
204,"Bremerton,WA",47.5436,-122.7122,218400
205,"Hickory,NC",35.7425,-81.323,218323
206,"Tacoma,WA",47.2431,-122.4531,217827
207,"San Bernardino,CA",34.1417,-117.2946,215784
208,"College Station,TX",30.5852,-96.296,215243
209,"Kalamazoo,MI",42.2749,-85.5882,215193
210,"Thousand Oaks,CA",34.1914,-118.8755,215029
211,"Roanoke,VA",37.2785,-79.958,214674
212,"Fontana,CA",34.0968,-117.4599,214547
213,"Moreno Valley,CA",33.9244,-117.2045,213055
214,"North Port,FL",27.0577,-82.1975,209070
215,"Fargo,ND",46.8652,-96.8292,208675
216,"Green Bay,WI",44.515,-87.9896,207557
217,"Spring Valley,NV",36.0987,-115.2619,207127
218,"Amarillo,TX",35.1988,-101.8311,205603
219,"Portland,ME",43.6773,-70.2715,203969
220,"Santa Barbara,CA",34.4285,-119.7202,202401
221,"Gainesville,FL",29.6804,-82.3458,202335
222,"Olympia,WA",47.0417,-122.8959,200915
223,"Frisco,TX",33.1555,-96.8215,200490
224,"Yonkers,NY",40.9466,-73.8674,200370
225,"Norwich,CT",41.5495,-72.0882,200289
226,"Glendale,CA",34.1818,-118.2468,199303
227,"Huntington Beach,CA",33.696,-118.0025,199223
228,"Deltona,FL",28.905,-81.2137,198361
229,"Aurora,IL",41.7637,-88.2901,197757
230,"Tempe,AZ",33.3881,-111.9318,195805
231,"Overland Park,KS",38.887,-94.687,195494
232,"Grand Prairie,TX",32.6872,-97.0209,194543
233,"Sunrise Manor,NV",36.1785,-115.049,193781
234,"Waco,TX",31.5598,-97.1881,192315
235,"Salinas,CA",36.6884,-121.6317,190972
236,"Waterbury,CT",41.5583,-73.0361,189614
237,"Clarksville,TN",36.5695,-87.342,188746
238,"Cedar Rapids,IA",41.9665,-91.6782,188038
239,"Sioux Falls,SD",43.5397,-96.732,187239
240,"Huntington,WV",38.4109,-82.4344,186034
241,"Ontario,CA",34.0393,-117.6064,185010
242,"Hagerstown,MD",39.6401,-77.7217,184755
243,"Erie,PA",42.1168,-80.0733,184484
244,"Vancouver,WA",45.6366,-122.5967,184463
245,"Nampa,ID",43.5845,-116.5631,184428
246,"Spartanburg,SC",34.9437,-81.9257,182701
247,"Gastonia,NC",35.2494,-81.1853,182581
248,"Fort Lauderdale,FL",26.1412,-80.1464,182437
249,"Lorain,OH",41.4409,-82.184,180279
250,"Murfreesboro,TN",35.8492,-86.4119,179951
251,"High Point,NC",35.9907,-79.9938,179913
252,"Newport News,VA",37.1051,-76.5185,179225
253,"Rancho Cucamonga,CA",34.1248,-117.5666,177603
254,"Hemet,CA",33.7341,-116.9969,177253
255,"Santa Cruz,CA",36.9789,-122.0346,176428
256,"Danbury,CT",41.4016,-73.471,176030
257,"Peoria,AZ",33.7844,-112.2989,175961
258,"Oceanside,CA",33.2247,-117.3083,175742
259,"Elk Grove,CA",38.416,-121.3842,174775
260,"Pembroke Pines,FL",26.0128,-80.3382,173591
261,"Vallejo,CA",38.1133,-122.2358,173256
262,"Garden Grove,CA",33.7787,-117.9601,171644
263,"Enterprise,NV",36.0164,-115.2208,171108
264,"Medford,OR",42.3372,-122.8537,170876
265,"Cary,NC",35.782,-78.8191,170282
266,"Marysville,WA",48.0809,-122.1561,170009
267,"Corona,CA",33.8616,-117.5649,169868
268,"Ocala,FL",29.178,-82.1511,169383
269,"Fredericksburg,VA",38.2992,-77.4872,168909
270,"Gainesville,GA",34.2903,-83.8301,167371
271,"Manchester,NH",42.9848,-71.4447,162877
272,"Bayamón,PR",18.3793,-66.1635,161034
273,"Champaign,IL",40.1144,-88.2735,159443
274,"Alexandria,VA",38.8185,-77.0861,159428
275,"Hayward,CA",37.6328,-122.0772,159203
276,"Springfield,IL",39.771,-89.6538,158509
277,"Lakewood,CO",39.6977,-105.1168,157935
278,"Lafayette,IN",40.399,-86.8594,157820
279,"Frederick,MD",39.4336,-77.4141,156787
280,"Lake Charles,LA",30.2012,-93.2122,156181
281,"Odessa,TX",31.8831,-102.3406,155998
282,"Tuscaloosa,AL",33.2348,-87.5267,155499
283,"Warner Robins,GA",32.597,-83.6529,155140
284,"Palmdale,CA",34.5944,-118.1057,155079
285,"Hollywood,FL",26.0294,-80.1679,154817
286,"Midland,TX",32.0249,-102.1137,154793
287,"Leesburg,FL",28.7657,-81.8996,154574
288,"Port Arthur,TX",29.8554,-93.9264,154468
289,"Muskegon,MI",43.2281,-86.2563,153565
290,"Macon,GA",32.8065,-83.6974,153159
291,"Kansas City,KS",39.1234,-94.7443,152960
292,"Sunnyvale,CA",37.3836,-122.0256,152703
293,"Pomona,CA",34.0585,-117.7626,151691
294,"Escondido,CA",33.1347,-117.0722,151625
295,"Pasadena,TX",29.6583,-95.1499,151227
296,"New Bedford,MA",41.6697,-70.9428,149910
297,"Fairfield,CA",38.2592,-122.0324,148683
298,"Naperville,IL",41.7483,-88.1657,148449
299,"Bellevue,WA",47.5951,-122.1535,148164
300,"Binghamton,NY",42.1014,-75.9093,148145
301,"Elkhart,IN",41.6916,-85.9628,147567
302,"Topeka,KS",39.0346,-95.6955,147458
303,"Joliet,IL",41.5189,-88.1499,147344
304,"Beaumont,TX",30.0849,-94.1451,146091
305,"Paterson,NJ",40.9147,-74.1624,145233
306,"Merced,CA",37.3057,-120.4778,145149
307,"Pueblo,CO",38.2705,-104.6112,143932
308,"Tyler,TX",32.3184,-95.3062,143796
309,"Torrance,CA",33.8346,-118.3417,143592
310,"Yuma,AZ",32.5992,-114.5488,142847
311,"Metairie,LA",29.9977,-90.178,142135
312,"Surprise,AZ",33.68,-112.4524,141664
313,"Columbia,MO",38.9478,-92.3256,141645
314,"Athens,GA",33.9508,-83.3689,141532
315,"Roseville,CA",38.7703,-121.3196,141500
316,"Thornton,CO",39.9197,-104.9438,141464
317,"Miramar,FL",25.9773,-80.3351,141191
318,"Pasadena,CA",34.1597,-118.139,141029
319,"Mesquite,TX",32.7623,-96.5889,140937
321,"Santa Maria,CA",34.9334,-120.4432,140545
320,"Olathe,KS",38.8832,-94.8198,140545
322,"Houma,LA",29.5799,-90.7058,140469
323,"Carrollton,TX",32.989,-96.8999,139248
324,"Grand Junction,CO",39.0876,-108.5673,139143
325,"Charleston,WV",38.3484,-81.6323,138706
326,"Orange,CA",33.8038,-117.8218,138669
327,"Fullerton,CA",33.8841,-117.9279,138632
328,"Greeley,CO",40.4151,-104.7706,137810
329,"Carolina,PR",18.4054,-65.9792,136771
330,"Las Cruces,NM",32.3265,-106.7892,136254
331,"Panama City,FL",30.1995,-85.6004,136133
332,"Harlingen,TX",26.1917,-97.6976,136037
333,"West Valley City,UT",40.6889,-112.0115,135248
334,"Hampton,VA",37.0551,-76.363,134510
335,"Warren,MI",42.4934,-83.027,133943
336,"Mauldin,SC",34.7849,-82.3005,133872
337,"Bloomington,IL",40.4757,-88.9703,133846
338,"Coral Springs,FL",26.2702,-80.2591,133759
339,"Round Rock,TX",30.5254,-97.666,133372
340,"Yakima,WA",46.5923,-120.5496,133191
341,"Sterling Heights,MI",42.5809,-83.0305,132438
342,"Kent,WA",47.3887,-122.2129,132319
343,"Burlington,NC",36.0758,-79.4686,131043
344,"Bellingham,WA",48.7543,-122.4687,130641
345,"Santa Clara,CA",37.3645,-121.968,130365
346,"Racine,WI",42.7274,-87.8135,130142
347,"Greenville,NC",35.5956,-77.3768,130118
348,"Stamford,CT",41.1035,-73.5583,129638
349,"Elizabeth,NJ",40.6657,-74.1912,129216
350,"Johnson City,TN",36.3406,-82.3803,127571
351,"Lynchburg,VA",37.4003,-79.1909,126814
352,"Simi Valley,CA",34.2663,-118.749,126589
353,"Fort Smith,AR",35.3493,-94.3695,125354
354,"Kenosha,WI",42.5864,-87.8765,124972
355,"Norman,OK",35.2335,-97.3471,124880
356,"South Lyon,MI",42.4614,-83.6526,124694
357,"Boulder,CO",40.0249,-105.2523,124345
358,"Abilene,TX",32.4543,-99.7384,123420
359,"Lehigh Acres,FL",26.612,-81.6388,123378
360,"Pearland,TX",29.5585,-95.3215,122460
361,"Berkeley,CA",37.8723,-122.276,121363
362,"Richardson,TX",32.9717,-96.7093,121323
363,"Redding,CA",40.5698,-122.365,121313
364,"Arvada,CO",39.8321,-105.1511,121272
365,"East Los Angeles,CA",34.0326,-118.1691,121187
366,"St. George,UT",37.077,-113.577,120899
367,"Billings,MT",45.7891,-108.5524,120728
368,"Yuba City,CA",39.1357,-121.6381,120456
369,"Rochester,MN",44.0151,-92.4778,119942
370,"Leominster,MA",42.5209,-71.7717,119690
371,"Kingsport,TN",36.5224,-82.5453,119666
372,"Duluth,MN",46.7756,-92.1392,119476
373,"Rock Hill,SC",34.9416,-81.0244,119105
374,"Gilroy,CA",37.0047,-121.5855,118993
375,"Cambridge,MA",42.3759,-71.1185,118927
376,"Sugar Land,TX",29.5935,-95.6357,118488
377,"Texas City,TX",29.4128,-94.9658,118169
378,"Iowa City,IA",41.6559,-91.5303,118041
379,"Saginaw,MI",43.4199,-83.9501,117958
380,"Chico,CA",39.7575,-121.8152,117668
381,"Dover,DE",39.161,-75.5203,117282
382,"Clearwater,FL",27.9789,-82.7622,116946
383,"Coeur d'Alene,ID",47.7041,-116.7935,116834
384,"Seaside,CA",36.6224,-121.8191,116720
385,"Independence,MO",39.0871,-94.3501,116672
386,"West Jordan,UT",40.6024,-112.0008,116480
387,"Brandon,FL",27.9367,-82.3,115911
388,"Bloomington,IN",39.1637,-86.5257,115884
389,"El Monte,CA",34.0739,-118.0291,115487
390,"North Charleston,SC",32.9066,-80.0722,115382
391,"Carlsbad,CA",33.1247,-117.2837,115382
392,"St. Cloud,MN",45.5339,-94.1718,115028
393,"Temecula,CA",33.4928,-117.1315,114761
394,"Clovis,CA",36.8278,-119.6831,114584
395,"Meridian,ID",43.6112,-116.3968,114161
396,"The Woodlands,TX",30.1738,-95.5134,113819
397,"Ponce,PR",18.012,-66.6198,113401
398,"Westminster,CO",39.8837,-105.0624,113166
399,"Costa Mesa,CA",33.6667,-117.9135,113003
400,"Monroe,LA",32.5183,-92.0774,112891
401,"Utica,NY",43.0961,-75.226,112650
402,"Pompano Beach,FL",26.2428,-80.1312,112118
403,"West Palm Beach,FL",26.7468,-80.1316,111955
404,"Waterloo,IA",42.492,-92.3522,111631
405,"Everett,WA",47.9525,-122.1669,111475
406,"El Centro,CA",32.7867,-115.5586,111425
407,"Santa Fe,NM",35.6619,-105.9819,111269
408,"Downey,CA",33.9379,-118.1312,111126
409,"Spring Hill,FL",28.4797,-82.53,111076
410,"Lowell,MA",42.6389,-71.3217,110997
411,"Centennial,CO",39.5926,-104.8674,110937
412,"Elgin,IL",42.0385,-88.3229,110849
413,"Richmond,CA",37.9477,-122.339,110567
414,"Broken Arrow,OK",36.0365,-95.7809,110198
415,"Miami Gardens,FL",25.9433,-80.2426,110001
416,"Bend,OR",44.0562,-121.3087,109802
417,"Burlington,VT",44.4877,-73.2314,109763
418,"Jurupa Valley,CA",34.001,-117.4705,109527
419,"Sandy Springs,GA",33.9366,-84.3703,109452
420,"Gresham,OR",45.5023,-122.4413,109381
421,"Lewisville,TX",33.0452,-96.9823,109212
422,"Hillsboro,OR",45.5272,-122.9361,109128
423,"San Buenaventura,CA",34.2741,-119.2314,109106
424,"Jacksonville,NC",34.7288,-77.3941,108856
425,"Pottstown,PA",40.2507,-75.6444,108758
426,"Inglewood,CA",33.9566,-118.3444,108151
427,"League City,TX",29.4873,-95.1087,107536
428,"Eau Claire,WI",44.8199,-91.4949,107404
429,"Turlock,CA",37.5053,-120.8588,107317
430,"Temple,TX",31.1076,-97.3894,107258
431,"Sioux City,IA",42.4959,-96.3901,106455
432,"Salisbury,MD",38.3756,-75.5867,106447
433,"Davie,FL",26.0789,-80.287,106306
434,"Daly City,CA",37.6862,-122.4685,106280
435,"Highlands Ranch,CO",39.5419,-104.9708,105631
436,"Allen,TX",33.1088,-96.6735,105623
437,"West Covina,CA",34.0555,-117.9112,105101
438,"Sparks,NV",39.5729,-119.7157,105006
439,"Wichita Falls,TX",33.9072,-98.5291,104683
440,"San Mateo,CA",37.5521,-122.3122,104430
441,"Columbia,MD",39.2004,-76.859,103991
442,"Norwalk,CA",33.9069,-118.0829,103949
443,"Rialto,CA",34.1174,-117.3894,103526
444,"Manteca,CA",37.7927,-121.2264,103420
445,"Arden-Arcade,CA",38.6034,-121.381,102864
446,"El Cajon,CA",32.8017,-116.9605,102708
447,"Burbank,CA",34.1879,-118.3235,102511
448,"Longmont,CO",40.1686,-105.1005,102474
449,"Renton,WA",47.4784,-122.1919,101751
450,"Vista,CA",33.1896,-117.2386,101638
451,"Logan,UT",41.74,-111.8419,101616
452,"Prescott Valley,AZ",34.5983,-112.3176,101539
453,"Vacaville,CA",38.359,-121.968,101444
454,"Edinburg,TX",26.3197,-98.1596,101170
455,"Carmel,IN",39.965,-86.146,101068
456,"Spokane Valley,WA",47.6626,-117.2346,101060
457,"San Angelo,TX",31.4424,-100.4506,101004
458,"La Crosse,WI",43.824,-91.2268,100693
459,"Idaho Falls,ID",43.4872,-112.0362,100442
460,"Holland,MI",42.7677,-86.0985,100432
461,"Charlottesville,VA",38.0375,-78.4855,100416
462,"Longview,TX",32.5193,-94.7621,100330
463,"Tracy,CA",37.7269,-121.4522,100049
464,"Boca Raton,FL",26.3752,-80.108,99805
465,"Lafayette,CO",39.9949,-105.0997,99645
466,"Lee's Summit,MO",38.9172,-94.3816,99357
467,"Rio Rancho,NM",35.2872,-106.6981,99178
468,"South Fulton,GA",33.6269,-84.5802,99155
469,"Beaverton,OR",45.4779,-122.8168,99037
470,"Lawrence,KS",38.9597,-95.2641,98648
471,"Bismarck,ND",46.8144,-100.7694,98345
472,"Orem,UT",40.2983,-111.6992,97828
473,"Middletown,OH",39.5032,-84.366,97730
474,"San Tan Valley,AZ",33.1879,-111.5472,96692
475,"San Marcos,CA",33.135,-117.1744,96664
476,"Sandy,UT",40.571,-111.8505,96380
477,"Federal Way,WA",47.3091,-122.3358,96289
478,"Mandeville,LA",30.3751,-90.0904,95968
479,"Hesperia,CA",34.3975,-117.3147,95750
480,"Brockton,MA",42.0821,-71.0242,95708
481,"Compton,CA",33.893,-118.2275,95605
482,"Riverview,FL",27.8227,-82.3023,95338
483,"Fishers,IN",39.9589,-85.9661,95310
484,"Sunrise,FL",26.1547,-80.2997,95166
485,"Bowling Green,KY",36.9719,-86.4373,95135
486,"Roswell,GA",34.0391,-84.3513,94763
487,"Menifee,CA",33.6909,-117.1849,94756
488,"Plantation,FL",26.126,-80.2617,94580
489,"Dover,NH",43.1887,-70.8845,94563
490,"Quincy,MA",42.2516,-71.0183,94470
491,"Portsmouth,VA",36.8468,-76.354,94398
492,"Chino,CA",33.9836,-117.6654,94371
493,"Lynn,MA",42.4779,-70.9663,94299
494,"Edmond,OK",35.6689,-97.4159,94054
495,"Hanford,CA",36.3274,-119.6549,94028
496,"Dearborn,MI",42.3127,-83.2129,93932
497,"Livonia,MI",42.3972,-83.3733,93665
498,"South Gate,CA",33.9448,-118.1926,93444
499,"Vineland,NJ",39.4653,-74.9981,93239
500,"Florence,SC",34.1781,-79.7877,93131
501,"Portsmouth,NH",43.058,-70.7826,93069
502,"Slidell,LA",30.2881,-89.7826,93040
503,"Lawton,OK",34.6176,-98.4203,93025
504,"Kirkland,WA",47.6974,-122.2054,93010
505,"Missoula,MT",46.875,-114.0214,92895
506,"Auburn,AL",32.6087,-85.4899,92777
507,"Rapid City,SD",44.0716,-103.2204,92664
508,"Terre Haute,IN",39.4654,-87.3763,92490
509,"Suffolk,VA",36.6953,-76.6398,92108
510,"Blacksburg,VA",37.23,-80.4279,91888
511,"Mount Pleasant,SC",32.8538,-79.8204,91684
512,"Carson,CA",33.8374,-118.2559,91394
513,"Conroe,TX",30.3239,-95.4825,91079
514,"Alafaya,FL",28.5278,-81.1865,91068
515,"Livermore,CA",37.6862,-121.7608,90923
516,"Westminster,CA",33.7523,-117.9938,90643
517,"Germantown,MD",39.1755,-77.2643,90582
518,"Santa Monica,CA",34.0232,-118.4813,90401
519,"New Braunfels,TX",29.6994,-98.1148,90209
520,"Fall River,MA",41.7137,-71.1014,89541
521,"Albany,GA",31.5776,-84.1762,89217
522,"Miami Beach,FL",25.8171,-80.1396,88885
523,"Norwalk,CT",41.1144,-73.4215,88816
524,"San Leandro,CA",37.7071,-122.1601,88815
525,"O'Fallon,MO",38.785,-90.7175,88673
526,"Newton,MA",42.3316,-71.2085,88414
527,"Muncie,IN",40.1989,-85.395,87879
528,"Citrus Heights,CA",38.6948,-121.288,87796
529,"State College,PA",40.7909,-77.8568,87723
530,"Town 'n' Country,FL",28.0108,-82.576,87338
531,"Decatur,IL",39.8556,-88.9337,87236
532,"Jackson,MI",42.2431,-84.4037,87110
533,"Fort Myers,FL",26.6195,-81.8303,87103
534,"Goodyear,AZ",33.2613,-112.3622,86840
535,"Dalton,GA",34.769,-84.9712,86628
536,"Bryan,TX",30.6657,-96.3668,86276
537,"Waukegan,IL",42.3697,-87.8716,86075
538,"Hawthorne,CA",33.9146,-118.3476,86068
539,"Anderson,IN",40.0891,-85.6893,85992
540,"Redwood City,CA",37.5026,-122.2252,85925
541,"Hoover,AL",33.3754,-86.8064,85768
542,"Lake Forest,CA",33.6606,-117.6712,85531
