,city1,city2,city3,label
55,"Cadiz,OH","San Fernando,CA","Roswell,GA",0
56,"Monett,MO","Valley Springs,CA","Everett,PA",0
57,"Emeryville,CA","Woodbury,NJ","Taylor,MI",0
58,"Kailua,HI","Port Angeles,WA","Morehead,KY",1
59,"Turnersville,NJ","Country Walk,FL","Bellair-Meadowbrook Terrace,FL",0
60,"Wantagh,NY","Damascus,OR","Guánica,PR",0
61,"Edgefield,SC","McGregor,TX","Venice Gardens,FL",0
62,"Latrobe,PA","Colusa,CA","Papillion,NE",0
63,"Fetters Hot Springs-Agua Caliente,CA","Mauston,WI","Fort Rucker,AL",1
64,"Tolleson,AZ","O'Fallon,IL","Socastee,SC",1
65,"McAllen,TX","Marin City,CA","Jefferson,WI",0
66,"Dwight,IL","San Andreas,CA","Kamas,UT",0
67,"Midland,PA","Janesville,WI","Midland,PA",0
68,"Magna,UT","Elon,NC","West Brattleboro,VT",1
69,"Plainwell,MI","Vega Alta,PR","Fussels Corner,FL",0
70,"Forest Park,OH","Alexander,AR","Grants,NM",1
71,"Miami,OK","Tuckahoe,NY","Village of Four Seasons,MO",0
72,"Brownville,NJ","Keokuk,IA","Bay Shore,NY",0
73,"Vinton,VA","Levittown,PR","Dallastown,PA",0
74,"Horseheads North,NY","Salida,CO","Hewitt,TX",0
75,"Pinewood,FL","Nampa,ID","Maplewood,MN",0
76,"Tullahoma,TN","Arab,AL","Marlow Heights,MD",1
77,"Battle Ground,WA","Nashville,GA","Fairview,TX",0
78,"Tuscola,IL","Sky Lake,FL","Lewisburg,PA",0
79,"Wood River,IL","Spring Valley,NY","State College,PA",0
80,"San Antonio Heights,CA","Schertz,TX","Keyport,NJ",1
81,"Oak Lawn,IL","Oakland,CA","Blacksburg,VA",0
82,"Pocahontas,AR","Muldrow,OK","Dunkirk,MD",1
83,"Plain City,OH","Garden City,NY","Tierras Nuevas Poniente,PR",1
84,"Matoaca,VA","Johnson City,TN","Lindsay,OK",1
85,"Middletown,CT","Goodrich,MI","Vinings,GA",1
86,"West Hempstead,NY","Pleasant Hill,MO","Springville,UT",1
87,"Provo,UT","Weatherford,OK","Marysville,PA",1
88,"Naples,FL","Sumner,WA","Garden Grove,CA",0
89,"Randolph,MA","East Dublin,GA","Grove,OK",1
90,"Cusseta,GA","O'Fallon,MO","Kansas City,KS",1
91,"Mount Healthy Heights,OH","Shoreline,WA","Mills River,NC",0
92,"San Luis Obispo,CA","Manassas,VA","Lancaster,OH",0
93,"El Paso de Robles,CA","Yonkers,NY","Gantt,SC",0
94,"Scenic Oaks,TX","Sugar Grove,IL","Hauppauge,NY",1
95,"Centerville,UT","Alvin,TX","Morristown,NJ",1
96,"Camden,TN","Asheboro,NC","Pitman,NJ",1
97,"Ephrata,PA","Thomaston,GA","Salem,MO",1
98,"American Falls,ID","Breckenridge,TX","Moultrie,GA",1
99,"Cabán,PR","Plain City,OH","Franklin,MI",1
100,"Oklahoma City,OK","Lakeside,VA","Forest Hills,MI",0
101,"Forestdale,AL","Williston,FL","Atlantic Highlands,NJ",1
102,"Dover,NJ","White Hall,AR","Nesconset,NY",0
103,"Roebling,NJ","Walla Walla,WA","Ewa Gentry,HI",1
104,"Craig,CO","Raymond,MS","Melissa,TX",0
105,"Yosemite Lakes,CA","Clovis,NM","Taos,NM",0
106,"Clayton,DE","Bentleyville,PA","Covington,TN",1
107,"Gowanda,NY","Nanticoke,PA","DeCordova,TX",1
108,"Fairview,OR","Valley Springs,CA","George Mason,VA",1
109,"Southside,AR","Lower Burrell,PA","Westerville,OH",0
110,"Sunnyvale,CA","Austin,MN","Edgewood,OH",1
111,"Newaygo,MI","Burnham,IL","St. Anthony,MN",1
112,"Jonesboro,GA","Clovis,CA","Wailea,HI",1
113,"Hicksville,NY","Davenport,FL","Sabetha,KS",1
114,"Grandville,MI","Tacoma,WA","Norwich,CT",0
115,"Newcastle,WA","Pen Argyl,PA","Walnut Creek,CA",0
116,"Burlington,WI","Terryville,NY","Puhi,HI",1
117,"Tipton,IN","Elmira Heights,NY","West Sacramento,CA",1
118,"Fairview,NC","Whitefish,MT","Carrollton,IL",0
119,"Stow,OH","McGuire AFB,NJ","Roswell,GA",1
120,"Valley View,PA","Enon,OH","Lincoln City,OR",1
121,"Centreville,IL","Rockwood,MI","Lake Barcroft,VA",1
122,"Parkland,WA","Brookhaven,PA","Michigan City,IN",0
123,"Whitehall,OH","Keokuk,IA","Colfax,WA",1
124,"Shorewood,WI","Jackson,MI","Arcata,CA",1
125,"Del Aire,CA","Clive,IA","Penn Yan,NY",1
126,"Tustin,CA","San Antonio,PR","Altoona,PA",0
127,"Cayucos,CA","Monahans,TX","Bremen,IN",1
128,"Passaic,NJ","Seminole Manor,FL","Farmers Branch,TX",1
129,"Soldotna,AK","Northview,MI","Thermopolis,WY",0
130,"Rapid City,SD","Leonardo,NJ","St. Albans,WV",0
131,"Henderson,NV","Hapeville,GA","Speedway,IN",0
132,"Carrizo Springs,TX","Albany,GA","Douglas,MI",1
133,"Chickasaw,AL","Wilson,PA","Brownfield,TX",0
134,"Friendswood,TX","Indianola,MS","Centerville,SC",1
135,"Prescott,AR","Pleasant View,UT","Ranson,WV",0
136,"Kennedy,CA","Watford City,ND","Steele Creek,AK",1
137,"Shelby,MT","Slaughterville,OK","Tullahoma,TN",1
138,"Sanford,FL","Nyssa,OR","Trenton,MO",0
139,"Graymoor-Devondale,KY","North Hartsville,SC","Bellflower,CA",1
140,"Ancient Oaks,PA","Buellton,CA","Tierras Nuevas Poniente,PR",0
141,"Chandler,IN","Barclay,NJ","Taylorsville,UT",1
142,"Sandy,OR","Fort Salonga,NY","Dranesville,VA",0
143,"Beaufort,SC","Picnic Point,WA","Corning,NY",0
144,"Westchase,FL","El Paso,TX","Murraysville,NC",0
145,"Lindale,TX","Edwardsville,KS","Key Biscayne,FL",1
146,"Laurel,MD","Mountain Home,ID","Redwood,TX",0
147,"Spanish Springs,NV","Lake Orion,MI","Loíza,PR",1
148,"Park Hill,OK","Bluefield,WV","Pikesville,MD",1
149,"Mauldin,SC","Bronx,NY","Forest Park,OH",0
150,"Junction City,OR","Nokomis,FL","North Rock Springs,WY",0
151,"Exton,PA","Hawkinsville,GA","Tara Hills,CA",1
152,"Level Park-Oak Park,MI","West Allis,WI","Indian Trail,NC",1
153,"Fair Oaks,CA","El Dorado Springs,MO","Shelton,WA",0
154,"Blue Ash,OH","Quincy,WA","Wilmer,TX",0
155,"Columbia,SC","Yaphank,NY","Alamo Heights,TX",1
156,"Crystal Lake,IL","Piñon Hills,CA","Clayton,NC",0
157,"North Alamo,TX","Arcata,CA","Columbus,KS",0
158,"Lakewood,CA","Jeffersonville,IN","Millbrae,CA",0
159,"Hartville,OH","Marinette,WI","Buckeye Lake,OH",0
160,"Rock Springs,WY","Ahoskie,NC","Du Quoin,IL",0
161,"Tucumcari,NM","Sinton,TX","University Place,WA",1
162,"Royal Palm Beach,FL","Socastee,SC","Hesperia,CA",1
163,"Jackson,CA","Haslett,MI","Newtown Grant,PA",1
164,"Shannondale,WV","Vidor,TX","Tiffin,OH",0
165,"Cheney,WA","Tinton Falls,NJ","Penn Yan,NY",0
166,"Stony Brook,NY","Caguas,PR","Rock Valley,IA",0
167,"Crowley,TX","Albertville,MN","Fairview,GA",0
168,"White Bluff,TN","Holbrook,NY","Muscatine,IA",0
169,"Stock Island,FL","South St. Paul,MN","Walker Mill,MD",0
170,"Demarest,NJ","Delhi,LA","Kayenta,AZ",1
171,"Crystal City,TX","Valley View,PA","Chelan,WA",1
172,"Lynchburg,VA","Youngtown,AZ","Springfield,OH",0
173,"Wolf Trap,VA","West Miami,FL","Greeley,CO",1
174,"Lagrange,IN","Crownpoint,NM","Loveland,CO",0
175,"South Miami,FL","Todd Creek,CO","Airmont,NY",0
176,"Cabán,PR","Lake Lorraine,FL","Winchester,TN",1
177,"Milford,OH","Fruitvale,CO","Garden Home-Whitford,OR",1
178,"Meridian,PA","Stock Island,FL","Greensboro,NC",0
179,"Texarkana,AR","Shackle Island,TN","Woodside East,DE",1
180,"Port Charlotte,FL","North Springfield,VA","Canutillo,TX",1
181,"Elm Creek,TX","Silver Lakes,CA","Rancho Calaveras,CA",1
182,"North Royalton,OH","Lewisville,TX","Wyoming,OH",0
183,"Sandston,VA","Genesee,CO","Monticello,IA",0
184,"Bixby,OK","North Terre Haute,IN","South Apopka,FL",1
185,"Sheridan,IN","Red Lion,PA","Madras,OR",1
186,"Larksville,PA","Rochester,PA","Pueblo,CO",1
187,"Sheridan,AR","Indian River Estates,FL","Opelousas,LA",0
188,"Waverly,OH","Ontario,CA","Thornton,CO",0
189,"Honesdale,PA","Buhl,ID","Mercer,PA",0
190,"Sherwood,OR","Veneta,OR","Chester Heights,PA",1
191,"Bensley,VA","Jacksonville,OR","Darien,GA",0
192,"Oswego,NY","Tarrytown,NY","Snyder,TX",1
193,"Lake Wissota,WI","Mohave Valley,AZ","Snyderville,UT",0
194,"Laurel,FL","Reston,VA","Beacon Square,FL",0
195,"Avon,CO","Oakland Park,FL","Grand Rapids,MI",0
196,"Glendale,CA","Meadow Vista,CA","Middletown,PA",1
197,"Natchitoches,LA","Moab,UT","The Pinery,CO",0
198,"Milton,WA","Marshall,MI","Hartford,WI",0
199,"Centerville,IA","Greenville,TX","El Monte,CA",1
200,"Blairsville,PA","Kelso,WA","Mount Pleasant,TX",0
201,"Ringgold,GA","Forked River,NJ","Bryan,OH",0
202,"Jasper,GA","Kapaa,HI","Hallam,PA",0
203,"Shawano,WI","Batavia,NY","Hornsby Bend,TX",1
204,"Silver Lake,NC","Richmond,MO","Donaldsonville,LA",0
205,"Elgin,IL","Pineville,NC","Center Line,MI",0
206,"West New York,NJ","Yardville,NJ","North Falmouth,MA",1
207,"Deschutes River Woods,OR","Texarkana,AR","Black Forest,CO",0
208,"Boonsboro,MD","Knik-Fairview,AK","Bee Cave,TX",0
209,"Plantation,FL","Sandy Springs,GA","Green,OR",1
210,"North Myrtle Beach,SC","Eutaw,AL","Lutcher,LA",1
211,"Sutherlin,OR","Hahira,GA","La Feria,TX",0
212,"Akron,PA","Rural Hill,TN","Dry Run,OH",0
213,"Soledad,CA","Graham,NC","Mojave,CA",0
214,"Kildeer,IL","Windsor,CO","Murrieta,CA",1
215,"Indian Trail,NC","Sonora,CA","Chapel Hill,NC",0
216,"Algoma,WI","Sun Prairie,WI","Indian Springs,GA",1
217,"Reading,PA","San Carlos,CA","Carolina Beach,NC",0
218,"Blennerhassett,WV","Hudson Falls,NY","Beechwood,MI",0
219,"Richlands,VA","Meriden,CT","Margate,FL",1
220,"Kenner,LA","Adelphi,MD","Grand Mound,WA",1
221,"Merced,CA","Mercer,PA","Clearbrook Park,NJ",1
222,"Hampton,VA","Shadyside,OH","Swanton,OH",1
223,"Fishers,IN","Marietta,PA","Suffern,NY",1
224,"Mililani Mauka,HI","Spencerport,NY","Albion,IN",0
225,"Nesquehoning,PA","Dickson,TN","Forestdale,MA",0
226,"Grapevine,TX","Cheat Lake,WV","Stickney,IL",0
227,"Thousand Oaks,CA","Mandan,ND","Bonners Ferry,ID",0
228,"Lapel,IN","Rockwood,MI","Johnson Lane,NV",1
229,"Sauk Rapids,MN","Pelham,AL","Austin,IN",0
230,"Hyde Park,UT","Beavercreek,OH","Vails Gate,NY",1
231,"Cape Coral,FL","Senoia,GA","Lakeland Highlands,FL",0
232,"Franklin,WI","Roswell,NM","Vinton,VA",0
233,"Big Stone Gap,VA","Niantic,CT","Chardon,OH",0
234,"Montalvin Manor,CA","Pearl River,MS","North Canton,OH",1
235,"McLean,VA","Goldstream,AK","East Northport,NY",0
236,"Tell City,IN","Pigeon Forge,TN","Lake Morton-Berrydale,WA",1
237,"New Freedom,PA","Altoona,IA","Newbern,TN",0
238,"Scottdale,GA","Le Center,MN","Eufaula,AL",0
239,"Norco,CA","Walnut Park,CA","Paramus,NJ",1
240,"Tysons,VA","Berwick,LA","Cumberland,MD",0
241,"Amesbury,MA","Atmore,AL","Louisiana,MO",0
242,"Rockville,IN","Kimberly,WI","Las Vegas,NV",1
243,"Richwood,OH","Hartford,CT","Superior,AZ",1
244,"Wyoming,MI","Diamond,IL","Bound Brook,NJ",1
245,"Mingo Junction,OH","Vista Santa Rosa,CA","Jefferson,NC",0
246,"Greenville,OH","Camden,SC","Muldrow,OK",1
247,"Garden Acres,CA","Yardville,NJ","Leland,MS",0
248,"West Modesto,CA","Laguna Hills,CA","Newton Falls,OH",1
249,"Cresaptown,MD","Elkins,WV","Aguilita,PR",1
250,"Everett,WA","Mathews,LA","Bell,CA",0
251,"Friendswood,TX","Selma,TX","Orcutt,CA",1
252,"Middletown,DE","North Logan,UT","Niceville,FL",0
253,"West Brattleboro,VT","Eunice,NM","Kankakee,IL",0
254,"Marquette,MI","Sagamore,MA","Lakeland,NY",0
255,"Three Lakes,WA","Huntley,IL","New Concord,OH",1
256,"Strathmore,NJ","Gainesville,VA","Staunton,IL",1
257,"Icard,NC","Denver,PA","Tusculum,TN",0
258,"Ogallala,NE","Pomona,NY","Estherville,IA",0
259,"Brady,TX","Forest Park,GA","Hermiston,OR",1
260,"Viera West,FL","Elmwood Park,IL","Crossville,TN",0
261,"Breaux Bridge,LA","Peaceful Valley,WA","Largo,FL",0
262,"Burnsville,MN","Howard,WI","Greenwood,PA",1
263,"Chicago Ridge,IL","Experiment,GA","Benson,AZ",1
264,"Quartz Hill,CA","Sierra Vista Southeast,AZ","Portola Valley,CA",0
265,"Yreka,CA","Cataño,PR","Taylor Creek,OH",0
266,"Linden,NJ","Aubrey,TX","Sturgeon Bay,WI",0
267,"Highland Falls,NY","Centreville,AL","Dayton,KY",0
268,"Union Beach,NJ","Desloge,MO","Bluffton,SC",0
269,"Mayo,MD","Union City,NJ","Medina,TX",1
270,"Redding,CA","Owasso,OK","Leisure Village East,NJ",1
271,"Choctaw,OK","Cresaptown,MD","Northwest Harwich,MA",1
272,"Odessa,FL","Fort Branch,IN","Milaca,MN",1
273,"Salem Heights,OH","Atlanta,TX","Green Bay,WI",0
274,"Stockton,CA","Merrydale,LA","Fort Mill,SC",1
275,"Union,KY","Park Layne,OH","Winona,MN",1
276,"Six Mile Run,NJ","Cienegas Terrace,TX","La Fayette,AL",0
277,"Tusculum,TN","Poteet,TX","Forest Hills,PA",0
278,"Marianna,FL","North Logan,UT","Punta Gorda,FL",0
279,"Montclair,VA","South El Monte,CA","Dumfries,VA",0
280,"Springfield,MO","Wood Village,OR","Pascoag,RI",0
281,"Argyle,TX","Madrid,IA","Arcadia,LA",0
282,"Pinson,AL","Harlem,GA","Crete,NE",1
283,"Farmville,NC","North Lakeport,CA","Brices Creek,NC",0
284,"Ansonia,CT","Bella Vista,CA","Franklinton,LA",0
285,"Kenilworth,NJ","Chaffee,MO","Glen Ellyn,IL",0
286,"Springdale,AR","Scottsboro,AL","Salisbury,NY",1
287,"Wildwood,NJ","Millbrae,CA","Nocatee,FL",0
288,"Hawthorne,CA","Bountiful,UT","Fort Knox,KY",1
289,"Cordes Lakes,AZ","Melrose,MA","Three Lakes,FL",0
290,"Fairwood,WA","Greenville,TX","Ladera Ranch,CA",0
291,"Venice,FL","West Ishpeming,MI","North Crossett,AR",0
292,"Durham,NC","Port Vue,PA","South Vacherie,LA",1
293,"Marion,KY","Lake Stevens,WA","Cave City,KY",0
294,"Elim,PA","Crossett,AR","Commerce,GA",0
295,"Long View,NC","Little Falls,NY","Decatur,TX",1
296,"Waikele,HI","Del Aire,CA","South Milwaukee,WI",1
297,"Pittsburg,CA","Red Wing,MN","Dayton,WA",0
298,"Indian River Estates,FL","Forsyth,MO","Yukon,OK",1
299,"Woodlynne,NJ","Aztec,NM","North Fort Myers,FL",0
300,"Carlisle,OH","Guaynabo,PR","Newington Forest,VA",0
301,"Dalton,GA","Cambridge,MD","Johnstown,CO",1
302,"Woodville,TX","Park Forest,IL","Columbia Heights,MN",1
303,"Central Heights-Midland City,AZ","Hephzibah,GA","El Cajon,CA",0
304,"Creve Coeur,MO","Lenexa,KS","Williamsville,NY",1
305,"Elwood,NY","Long Grove,IL","Grantley,PA",0
306,"North Las Vegas,NV","Green Hill,TN","St. Marys,PA",1
307,"Mercer Island,WA","Leon Valley,TX","Paramount,CA",0
308,"Middletown,KY","Berwyn,IL","Morrisville,NC",1
309,"Newton,MA","Moosup,CT","Atherton,CA",1
310,"Warwick,RI","Olean,NY","Blissfield,MI",1
311,"Lake Hallie,WI","Upper Saddle River,NJ","Moline,IL",0
312,"Coronado,CA","Sunset,UT","Quincy,IL",1
313,"Rochelle,IL","Old Jefferson,LA","North Laurel,MD",0
314,"Manhattan,IL","Evans,CO","Mount Shasta,CA",1
315,"Houghton Lake,MI","Camino Tassajara,CA","South Greeley,WY",0
316,"New Baltimore,VA","Paulding,OH","Eldora,IA",1
317,"Meadow Oaks,FL","Ashland,NE","Oak Grove,MO",0
318,"Shady Side,MD","Lake Junaluska,NC","Easton,PA",0
319,"Lake Elsinore,CA","Bel Aire,KS","Boston,MA",1
320,"Clifton,CO","Boulevard Park,WA","Okolona,MS",1
321,"Justice,IL","Brambleton,VA","Garden City,MI",0
322,"San Anselmo,CA","Hallettsville,TX","Tecumseh,OK",0
323,"Center Point,AL","Walden,NY","Rosedale,MD",0
324,"St. Marys,KS","Penitas,TX","Summit Hill,PA",1
325,"Deer Park,IL","Crescent City,CA","Stokesdale,NC",0
326,"Spring Valley Lake,CA","Pomona,NY","Smiths Station,AL",0
327,"Lake Katrine,NY","Whitney,NV","Lampasas,TX",0
328,"Warren AFB,WY","Fergus Falls,MN","New Whiteland,IN",1
329,"Belvedere Park,GA","Marine City,MI","San Angelo,TX",1
330,"Selinsgrove,PA","Waxhaw,NC","Odenville,AL",1
331,"Elm Springs,AR","Leisure Village West,NJ","Trinidad,CO",0
332,"Williamstown,WV","Sky Lake,FL","Bisbee,AZ",1
333,"Fords,NJ","The Acreage,FL","Forty Fort,PA",0
334,"Chackbay,LA","Fairfield,IL","Sonoma,CA",1
335,"Chatfield,MN","Lodi,OH","Vado,NM",1
336,"North Port,FL","Kaser,NY","Kirkwood,MO",0
337,"Osage,IA","Helena-West Helena,AR","Mankato,MN",0
338,"Satellite Beach,FL","Allentown,PA","Mountain View,HI",1
339,"Milwaukee,WI","Las Animas,CO","Ceiba,PR",1
340,"Bonners Ferry,ID","Stonecrest,GA","Tucumcari,NM",0
341,"View Park-Windsor Hills,CA","Pineville,NC","Big Lake,AK",1
342,"Montgomery,WV","Ocean Bluff-Brant Rock,MA","Fairfield,IL",0
343,"Lebanon,IL","Goshen,CA","Ste. Genevieve,MO",0
344,"Harlingen,TX","Coopersville,MI","Marietta,GA",0
345,"Lakeland Village,CA","Lemoyne,PA","Cadiz,OH",0
346,"Rome,NY","Newton,NC","National Park,NJ",0
347,"Ontario,OH","Roswell,GA","Boulder Creek,CA",1
348,"Stallings,NC","Wood Village,OR","Moorhead,MN",0
349,"Richmond,VA","Clinton,AR","Utica,MI",0
350,"Lake Ridge,VA","Cornelia,GA","Medina,NY",0
351,"Hunters Creek Village,TX","Highland Springs,VA","Whitemarsh Island,GA",0
352,"Bay Pines,FL","Millersburg,PA","Trenton,GA",0
353,"Williamston,NC","Palm Coast,FL","Truckee,CA",1
354,"Hummelstown,PA","Zapata,TX","Five Forks,SC",0
355,"Hurst,TX","Denton,TX","Hoboken,NJ",1
356,"Seabrook,TX","West DeLand,FL","West Springfield,MA",1
357,"West Frankfort,IL","Campo,CA","Providence,RI",0
358,"Pasadena,CA","Coolidge,AZ","Brooksville,FL",1
359,"Elmhurst,IL","Hockinson,WA","Post,TX",0
360,"Royse City,TX","Fairfield Harbour,NC","Abita Springs,LA",0
361,"Bexley,OH","Angola,IN","Eden Isle,LA",1
362,"Colonial Park,PA","Stockbridge,GA","Wickenburg,AZ",1
363,"Berkley,MI","South Hempstead,NY","Twin Lakes,WI",0
364,"Junction City,OR","North Valley Stream,NY","Goodlettsville,TN",0
365,"Costa Mesa,CA","La Selva Beach,CA","Granite City,IL",1
366,"Caruthersville,MO","Brookmont,MD","Manchester,IA",0
367,"Pittsburg,CA","Egypt Lake-Leto,FL","Waterbury,CT",1
368,"Parkville,PA","Chandler,TX","Fort Bragg,CA",1
369,"Lowell,AR","South Padre Island,TX","Caruthersville,MO",0
370,"Taylor,PA","Goleta,CA","Hallandale Beach,FL",0
371,"Cicero,IL","Nolensville,TN","Olyphant,PA",1
372,"White Horse,NJ","Oconto Falls,WI","Sunland Park,NM",1
373,"Nokomis,IL","Pleasant Garden,NC","Kendall Park,NJ",1
374,"North Bay Shore,NY","Lampasas,TX","Heathcote,NJ",0
375,"Gibsonburg,OH","Howe,TX","Kemmerer,WY",1
376,"Electra,TX","Grandview,MO","University Center,VA",1
377,"Perry Heights,OH","Jasper,FL","Breckenridge,TX",1
378,"Oak Grove,TN","Altavista,VA","Mineral Ridge,OH",1
379,"Centerville,OH","Lakemoor,IL","Lynden,WA",1
380,"Strongsville,OH","Grantville,GA","Moline,IL",0
381,"Paintsville,KY","Ferrysburg,MI","Camarillo,CA",1
382,"Manchester,NH","Tecumseh,OK","San Bernardino,CA",1
383,"Dallastown,PA","South Hooksett,NH","Montoursville,PA",0
384,"Tacoma,WA","Firestone,CO","Dalton,GA",1
385,"Medina,TX","Nowata,OK","Columbia,IL",1
386,"Unionville,NC","Spurgeon,TN","Manassas,VA",1
387,"Pemberton Heights,NJ","Wytheville,VA","Doral,FL",1
388,"Powell,WY","Sheridan,AR","Coralville,IA",0
389,"Chisholm,MN","Hanover,MN","Las Piedras,PR",1
390,"Clinton,AR","Fairwood,WA","Mount Vernon,IA",0
391,"Johns Creek,GA","Johnsburg,IL","Cannon AFB,NM",1
392,"Golf Manor,OH","Hales Corners,WI","Payette,ID",1
393,"Port Huron,MI","South Jordan,UT","Hooverson Heights,WV",0
394,"Palmyra,PA","Sussex,WI","Landen,OH",0
395,"Jim Thorpe,PA","Murfreesboro,NC","Point Pleasant,NJ",0
396,"Holiday City-Berkeley,NJ","Ashland,VA","Denver,NC",1
397,"Snyderville,UT","Northlake,TX","Midfield,AL",1
398,"Solon,OH","Wildwood,NJ","Kenwood,OH",0
399,"Knightstown,IN","Lake Monticello,VA","Aumsville,OR",1
400,"Thonotosassa,FL","Jeffersonville,IN","Glenwood,MN",1
401,"Chauvin,LA","Mabank,TX","Sheridan,CO",1
402,"Chicago,IL","Centreville,MD","Plaquemine,LA",1
403,"Lake Grove,NY","Thatcher,AZ","Marksville,LA",0
404,"Stevenson Ranch,CA","Loyalhanna,PA","Mills,WY",0
405,"Coopersville,MI","Village of Oak Creek,AZ","Lebanon,IL",0
406,"Evansville,WY","Rio Grande City,TX","Heber-Overgaard,AZ",0
407,"Antioch,IL","Olmsted Falls,OH","Garden City South,NY",1
408,"Stuttgart,AR","Norton,KS","Saltillo,MS",0
409,"Fairfield,TX","Laguna Beach,CA","Carver,MN",0
410,"Montpelier,OH","Waldron,AR","Salisbury,MD",0
411,"Union Hill-Novelty Hill,WA","Eaton,OH","Manatee Road,FL",1
412,"Laurel,VA","Richmond,CA","Biddeford,ME",0
413,"St. Joseph,MN","Benton,IL","Philipsburg,PA",1
414,"Butler Beach,FL","Genoa City,WI","Fort Rucker,AL",0
415,"Kings Bay Base,GA","Winfield,IL","Ingram,PA",0
416,"Ormond-by-the-Sea,FL","Newton,MA","Feather Sound,FL",0
417,"Chamberlayne,VA","North Bellport,NY","Spring Lake Park,MN",1
418,"Fate,TX","Chico,WA","Farmington,UT",0
419,"Gastonville,PA","Cajah's Mountain,NC","Lake Nacimiento,CA",1
420,"Cameron,TX","Bedford Hills,NY","North Alamo,TX",0
421,"Laurium,MI","North Braddock,PA","Minneapolis,MN",0
422,"Wanaque,NJ","Marianna,AR","Millersville,TN",0
423,"Cherokee,IA","Quarryville,PA","Newport,MN",0
424,"Port Angeles,WA","South Yarmouth,MA","Lawrenceville,NJ",0
425,"Wailua,HI","Sinton,TX","Paris,KY",1
426,"York Harbor,ME","Cape Canaveral,FL","Gambier,OH",0
427,"Port Orange,FL","Beckett,NJ","Lebanon,KY",0
428,"Bay Point,CA","Walthourville,GA","Blissfield,MI",0
