City1,City1_long,City1_lat,City2,City2_long,City2_lat,City3,City3_long,City3_lat,Prompt,Response,correct
"Panama City, FL",-85.6004,30.1995,"Centennial, CO",-104.8674,39.5926,"Vista, CA",-117.2386,33.1896,Is Panama City FL closer to Centennial CO or Vista CA?,"Centennial, CO",0
"Bolingbrook, IL",-88.1019,41.6903,"Buckeye, AZ",-112.6429,33.4314,"Victorville, CA",-117.3536,34.5277,Is Bolingbrook IL closer to Buckeye AZ or Victorville CA?,"Victorville, CA",0
"Norman, OK",-97.3471,35.2335,"Orange, CA",-117.8218,33.8038,"Berwyn, IL",-87.7909,41.8433,Is Norman OK closer to Orange CA or Berwyn IL?,"Orange, CA",1
"Idaho Falls, ID",-112.0362,43.4872,"Rancho Cordova, CA",-121.2523,38.574,"Mobile, AL",-88.1162,30.6783,Is Idaho Falls ID closer to Rancho Cordova CA or Mobile AL?,"Rancho Cordova, CA",0
"Missoula, MT",-114.0214,46.875,"Poughkeepsie, NY",-73.921,41.6949,"North Miami, FL",-80.1686,25.9007,Is Missoula MT closer to Poughkeepsie NY or North Miami FL?,"Poughkeepsie, NY",0
"Dothan, AL",-85.4069,31.2335,"Alhambra, CA",-118.1355,34.084,"Rock Hill, SC",-81.0244,34.9416,Is Dothan AL closer to Alhambra CA or Rock Hill SC?,"Rock Hill, SC",1
"Bloomington, IN",-86.5257,39.1637,"Watsonville, CA",-121.7706,36.9206,"Traverse City, MI",-85.6035,44.7547,Is Bloomington IN closer to Watsonville CA or Traverse City MI?,"Traverse City, MI",1
"Kankakee, IL",-87.8643,41.1019,"Cheyenne, WY",-104.79,41.1351,"Apple Valley, MN",-93.2006,44.7457,Is Kankakee IL closer to Cheyenne WY or Apple Valley MN?,"Cheyenne, WY",1
"Pittsburg, CA",-121.8964,38.0182,"Ellicott City, MD",-76.8344,39.2773,"Aurora, IL",-88.2901,41.7637,Is Pittsburg CA closer to Ellicott City MD or Aurora IL?,"Ellicott City, MD",1
"Spring Valley, NV",-115.2619,36.0987,"Bradenton, FL",-82.5739,27.49,"Chula Vista, CA",-117.0145,32.6281,Is Spring Valley NV closer to Bradenton FL or Chula Vista CA?,"Bradenton, FL",1
"Arlington Heights, IL",-87.9825,42.0955,"Shoreline, WA",-122.3426,47.7564,"Maple Grove, MN",-93.4626,45.1089,Is Arlington Heights IL closer to Shoreline WA or Maple Grove MN?,"Maple Grove, MN",1
"Pontiac, MI",-83.2878,42.6493,"Bellevue, WA",-122.1535,47.5951,"State College, PA",-77.8568,40.7909,Is Pontiac MI closer to Bellevue WA or State College PA?,"Bellevue, WA",1
"Centreville, VA",-77.4388,38.8391,"Olathe, KS",-94.8198,38.8832,"Santa Clara, CA",-121.968,37.3645,Is Centreville VA closer to Olathe KS or Santa Clara CA?,"Olathe, KS",0
"Arlington, VA",-77.1011,38.8786,"Dallas, TX",-96.7662,32.7936,"North Charleston, SC",-80.0722,32.9066,Is Arlington VA closer to Dallas TX or North Charleston SC?,"Dallas, TX",1
"Leominster, MA",-71.7717,42.5209,"St. Joseph, MO",-94.821,39.7599,"Turlock, CA",-120.8588,37.5053,Is Leominster MA closer to St. Joseph MO or Turlock CA?,"St. Joseph, MO",0
"Reading, PA",-75.9267,40.34,"Sparks, NV",-119.7157,39.5729,"Asheville, NC",-82.5536,35.5704,Is Reading PA closer to Sparks NV or Asheville NC?,"Asheville, NC",1
"Boca Raton, FL",-80.108,26.3752,"Newark, OH",-82.4251,40.0705,"Burbank, CA",-118.3235,34.1879,Is Boca Raton FL closer to Newark OH or Burbank CA?,"Burbank, CA",0
"Pearland, TX",-95.3215,29.5585,"Ann Arbor, MI",-83.7312,42.2755,"Shreveport, LA",-93.7956,32.4656,Is Pearland TX closer to Ann Arbor MI or Shreveport LA?,"Ann Arbor, MI",1
"Denton, TX",-97.1419,33.2176,"Goldsboro, NC",-77.972,35.3778,"San Jose, CA",-121.8486,37.3019,Is Denton TX closer to Goldsboro NC or San Jose CA?,"Goldsboro, NC",0
"Rosemead, CA",-118.0823,34.0689,"Pinellas Park, FL",-82.7078,27.8589,"Cary, NC",-78.8191,35.782,Is Rosemead CA closer to Pinellas Park FL or Cary NC?,"Cary, NC",0
"Laredo, TX",-99.4875,27.5629,"Lake Elsinore, CA",-117.3344,33.6847,"Irving, TX",-96.9702,32.8584,Is Laredo TX closer to Lake Elsinore CA or Irving TX?,"Irving, TX",1
"Newport News, VA",-76.5185,37.1051,"Minnetonka, MN",-93.4598,44.9322,"Waukesha, WI",-88.2464,43.0087,Is Newport News VA closer to Minnetonka MN or Waukesha WI?,"Minnetonka, MN",1
"Longmont, CO",-105.1005,40.1686,"Arden-Arcade, CA",-121.381,38.6034,"Stillwater, OK",-97.074,36.1316,Is Longmont CO closer to Arden-Arcade CA or Stillwater OK?,"Arden-Arcade, CA",1
"St. Clair Shores, MI",-82.8957,42.4921,"Los Lunas, NM",-106.7803,34.8115,"Escondido, CA",-117.0722,33.1347,Is St. Clair Shores MI closer to Los Lunas NM or Escondido CA?,"Escondido, CA",0
"Davis, CA",-121.7365,38.5552,"Bremerton, WA",-122.7122,47.5436,"Rome, GA",-85.1862,34.2661,Is Davis CA closer to Bremerton WA or Rome GA?,"Bremerton, WA",0
"Ithaca, NY",-76.5032,42.4442,"Alhambra, CA",-118.1355,34.084,"Knoxville, TN",-83.9496,35.9692,Is Ithaca NY closer to Alhambra CA or Knoxville TN?,"Knoxville, TN",1
"Ellicott City, MD",-76.8344,39.2773,"Hickory, NC",-81.323,35.7425,"Pasadena, CA",-118.139,34.1597,Is Ellicott City MD closer to Hickory NC or Pasadena CA?,"Hickory, NC",0
"Victorville, CA",-117.3536,34.5277,"Zephyrhills, FL",-82.1796,28.2408,"The Woodlands, TX",-95.5134,30.1738,Is Victorville CA closer to Zephyrhills FL or The Woodlands TX?,"The Woodlands, TX",1
"Scottsdale, AZ",-111.8651,33.6872,"Town 'n' Country, FL",-82.576,28.0108,"East Orange, NJ",-74.2117,40.7651,Is Scottsdale AZ closer to Town 'n' Country FL or East Orange NJ?,"East Orange, NJ",0
"Riverside, CA",-117.3948,33.9381,"Casper, WY",-106.3207,42.842,"Long Beach, CA",-118.1675,33.7981,Is Riverside CA closer to Casper WY or Long Beach CA?,"Long Beach, CA",1
"Allen, TX",-96.6735,33.1088,"Bellingham, WA",-122.4687,48.7543,"Sarasota, FL",-82.5431,27.3386,Is Allen TX closer to Bellingham WA or Sarasota FL?,"Bellingham, WA",1
"Chula Vista, CA",-117.0145,32.6281,"Waterloo, IA",-92.3522,42.492,"Reno, NV",-119.8483,39.5497,Is Chula Vista CA closer to Waterloo IA or Reno NV?,"Reno, NV",1
"Fond du Lac, WI",-88.4396,43.7718,"Norwalk, CT",-73.4215,41.1144,"Jefferson City, MO",-92.1759,38.5676,Is Fond du Lac WI closer to Norwalk CT or Jefferson City MO?,"Jefferson City, MO",1
"Parkersburg, WV",-81.542,39.2624,"Round Lake Beach, IL",-88.0811,42.379,"Sandy, UT",-111.8505,40.571,Is Parkersburg WV closer to Round Lake Beach IL or Sandy UT?,"Sandy, UT",0
"Westland, MI",-83.3805,42.3192,"Lexington, KY",-84.4587,38.0423,"Lima, OH",-84.1121,40.741,Is Westland MI closer to Lexington KY or Lima OH?,"Lexington, KY",1
"Dundalk, MD",-76.4942,39.2703,"Joplin, MO",-94.5018,37.0758,"Anchorage, AK",-149.1091,61.1508,Is Dundalk MD closer to Joplin MO or Anchorage AK?,"Joplin, MO",0
"Harrisburg, PA",-76.8843,40.2752,"Spring, TX",-95.383,30.0613,"New York, NY",-73.9249,40.6943,Is Harrisburg PA closer to Spring TX or New York NY?,"New York, NY",1
"Frisco, TX",-96.8215,33.1555,"Asheville, NC",-82.5536,35.5704,"Coeur d'Alene, ID",-116.7935,47.7041,Is Frisco TX closer to Asheville NC or Coeur d'Alene ID?,"Coeur d'Alene, ID",0
"Salem, OR",-123.0246,44.9231,"Des Moines, IA",-93.6105,41.5725,"Bismarck, ND",-100.7694,46.8144,Is Salem OR closer to Des Moines IA or Bismarck ND?,"Des Moines, IA",1
"Sugar Land, TX",-95.6357,29.5935,"Kingsport, TN",-82.5453,36.5224,"Decatur, AL",-86.9906,34.573,Is Sugar Land TX closer to Kingsport TN or Decatur AL?,"Kingsport, TN",1
"Livermore, CA",-121.7608,37.6862,"Springdale, AR",-94.1574,36.1899,"Novi, MI",-83.4893,42.4786,Is Livermore CA closer to Springdale AR or Novi MI?,"Springdale, AR",0
"Warner Robins, GA",-83.6529,32.597,"Fort Myers, FL",-81.8303,26.6195,"Lafayette, LA",-92.0323,30.2084,Is Warner Robins GA closer to Fort Myers FL or Lafayette LA?,"Fort Myers, FL",0
"North Charleston, SC",-80.0722,32.9066,"San Rafael, CA",-122.5222,37.9905,"Bay City, MI",-83.8886,43.5903,Is North Charleston SC closer to San Rafael CA or Bay City MI?,"San Rafael, CA",1
"South Fulton, GA",-84.5802,33.6269,"Flagstaff, AZ",-111.6195,35.1872,"Paramount, CA",-118.1652,33.8976,Is South Fulton GA closer to Flagstaff AZ or Paramount CA?,"Flagstaff, AZ",0
"Schenectady, NY",-73.9276,42.8025,"Leominster, MA",-71.7717,42.5209,"Indio, CA",-116.2346,33.7346,Is Schenectady NY closer to Leominster MA or Indio CA?,"Leominster, MA",0
"Forney, TX",-96.4529,32.744,"Denver, CO",-104.8759,39.7621,"San Tan Valley, AZ",-111.5472,33.1879,Is Forney TX closer to Denver CO or San Tan Valley AZ?,"Denver, CO",0
"High Point, NC",-79.9938,35.9907,"San Mateo, CA",-122.3122,37.5521,"Fargo, ND",-96.8292,46.8652,Is High Point NC closer to San Mateo CA or Fargo ND?,"San Mateo, CA",1
"Peoria, IL",-89.6153,40.752,"Jacksonville, NC",-77.3941,34.7288,"Rosemead, CA",-118.0823,34.0689,Is Peoria IL closer to Jacksonville NC or Rosemead CA?,"Rosemead, CA",0
"Palm Harbor, FL",-82.7481,28.0847,"Berkeley, CA",-122.276,37.8723,"Costa Mesa, CA",-117.9135,33.6667,Is Palm Harbor FL closer to Berkeley CA or Costa Mesa CA?,"Costa Mesa, CA",1
"Lawrence, KS",-95.2641,38.9597,"Cape Girardeau, MO",-89.5597,37.3108,"Gadsden, AL",-86.0156,34.009,Is Lawrence KS closer to Cape Girardeau MO or Gadsden AL?,"Cape Girardeau, MO",0
"Utica, NY",-75.226,43.0961,"Allentown, PA",-75.4756,40.5961,"Wichita Falls, TX",-98.5291,33.9072,Is Utica NY closer to Allentown PA or Wichita Falls TX?,"Allentown, PA",0
"Fort Worth, TX",-97.3473,32.7811,"Kendale Lakes, FL",-80.4078,25.7081,"El Centro, CA",-115.5586,32.7867,Is Fort Worth TX closer to Kendale Lakes FL or El Centro CA?,"El Centro, CA",1
"Kansas City, KS",-94.7443,39.1234,"Colorado Springs, CO",-104.7606,38.8674,"Ithaca, NY",-76.5032,42.4442,Is Kansas City KS closer to Colorado Springs CO or Ithaca NY?,"Colorado Springs, CO",0
"Greenwood, IN",-86.1073,39.6019,"South Whittier, CA",-118.0311,33.9336,"Lakeland, FL",-81.9545,28.0556,Is Greenwood IN closer to South Whittier CA or Lakeland FL?,"Lakeland, FL",1
"Stockton, CA",-121.3109,37.9765,"Portland, OR",-122.65,45.5372,"Queens, NY",-73.7976,40.7498,Is Stockton CA closer to Portland OR or Queens NY?,"Portland, OR",0
"Indianapolis, IN",-86.1458,39.7771,"Miami Gardens, FL",-80.2426,25.9433,"Murfreesboro, TN",-86.4119,35.8492,Is Indianapolis IN closer to Miami Gardens FL or Murfreesboro TN?,"Miami Gardens, FL",1
"Portsmouth, NH",-70.7826,43.058,"Round Rock, TX",-97.666,30.5254,"Dubuque, IA",-90.7067,42.5008,Is Portsmouth NH closer to Round Rock TX or Dubuque IA?,"Round Rock, TX",1
"North Miami, FL",-80.1686,25.9007,"Oshkosh, WI",-88.5619,44.0228,"Manhattan, NY",-73.9662,40.7834,Is North Miami FL closer to Oshkosh WI or Manhattan NY?,"Oshkosh, WI",1
"Houston, TX",-95.3889,29.7863,"Oakland, CA",-122.2165,37.7903,"Delray Beach, FL",-80.0905,26.455,Is Houston TX closer to Oakland CA or Delray Beach FL?,"Oakland, CA",1
"Shawnee, KS",-94.8076,39.0158,"Vancouver, WA",-122.5967,45.6366,"Battle Creek, MI",-85.2296,42.2986,Is Shawnee KS closer to Vancouver WA or Battle Creek MI?,"Vancouver, WA",1
"Weston, FL",-80.4054,26.1006,"St. Cloud, MN",-94.1718,45.5339,"Richland, WA",-119.2938,46.2824,Is Weston FL closer to St. Cloud MN or Richland WA?,"Richland, WA",0
"Turlock, CA",-120.8588,37.5053,"Twin Falls, ID",-114.4615,42.5645,"Fresno, CA",-119.7941,36.7831,Is Turlock CA closer to Twin Falls ID or Fresno CA?,"Twin Falls, ID",1
"Hialeah, FL",-80.3046,25.8696,"West Palm Beach, FL",-80.1316,26.7468,"Oakland, CA",-122.2165,37.7903,Is Hialeah FL closer to West Palm Beach FL or Oakland CA?,"West Palm Beach, FL",0
"Lancaster, CA",-118.1753,34.6935,"Irving, TX",-96.9702,32.8584,"Redding, CA",-122.365,40.5698,Is Lancaster CA closer to Irving TX or Redding CA?,"Irving, TX",1
"Carson, CA",-118.2559,33.8374,"Franklin, TN",-86.8525,35.9216,"Stillwater, OK",-97.074,36.1316,Is Carson CA closer to Franklin TN or Stillwater OK?,"Franklin, TN",1
"Somerville, MA",-71.1013,42.3908,"Owensboro, KY",-87.1173,37.7574,"Mayagüez, PR",-67.1397,18.2003,Is Somerville MA closer to Owensboro KY or Mayagüez PR?,"Owensboro, KY",0
"Yakima, WA",-120.5496,46.5923,"Levittown, NY",-73.5125,40.7241,"Fort Lauderdale, FL",-80.1464,26.1412,Is Yakima WA closer to Levittown NY or Fort Lauderdale FL?,"Fort Lauderdale, FL",0
"Tulare, CA",-119.34,36.1996,"Port Charlotte, FL",-82.114,26.9918,"Wheaton, IL",-88.1083,41.8561,Is Tulare CA closer to Port Charlotte FL or Wheaton IL?,"Port Charlotte, FL",1
"League City, TX",-95.1087,29.4873,"Green Bay, WI",-87.9896,44.515,"La Crosse, WI",-91.2268,43.824,Is League City TX closer to Green Bay WI or La Crosse WI?,"Green Bay, WI",1
"Pico Rivera, CA",-118.0888,33.9902,"Farmington, NM",-108.1823,36.7555,"Stonecrest, GA",-84.1372,33.6842,Is Pico Rivera CA closer to Farmington NM or Stonecrest GA?,"Stonecrest, GA",0
"League City, TX",-95.1087,29.4873,"Pomona, CA",-117.7626,34.0585,"Kissimmee, FL",-81.4164,28.3042,Is League City TX closer to Pomona CA or Kissimmee FL?,"Pomona, CA",1
"Shoreline, WA",-122.3426,47.7564,"Fayetteville, AR",-94.166,36.0713,"San Clemente, CA",-117.6103,33.4498,Is Shoreline WA closer to Fayetteville AR or San Clemente CA?,"San Clemente, CA",1
"Taylorsville, UT",-111.9493,40.657,"Hesperia, CA",-117.3147,34.3975,"Providence, RI",-71.4187,41.823,Is Taylorsville UT closer to Hesperia CA or Providence RI?,"Providence, RI",0
"Marysville, WA",-122.1561,48.0809,"Slidell, LA",-89.7826,30.2881,"New Haven, CT",-72.9246,41.3112,Is Marysville WA closer to Slidell LA or New Haven CT?,"Slidell, LA",0
"Parma, OH",-81.7286,41.3843,"Broken Arrow, OK",-95.7809,36.0365,"Loveland, CO",-105.0623,40.4166,Is Parma OH closer to Broken Arrow OK or Loveland CO?,"Broken Arrow, OK",0
"Irvine, CA",-117.7738,33.6772,"Bolingbrook, IL",-88.1019,41.6903,"Conway, AR",-92.4694,35.0754,Is Irvine CA closer to Bolingbrook IL or Conway AR?,"Bolingbrook, IL",1
"Monessen, PA",-79.8828,40.1519,"Lake Jackson, TX",-95.4522,29.0516,"Dothan, AL",-85.4069,31.2335,Is Monessen PA closer to Lake Jackson TX or Dothan AL?,"Lake Jackson, TX",1
"Sparks, NV",-119.7157,39.5729,"Spokane, WA",-117.433,47.6671,"Columbia, MD",-76.859,39.2004,Is Sparks NV closer to Spokane WA or Columbia MD?,"Spokane, WA",0
"St. Joseph, MO",-94.821,39.7599,"Pocatello, ID",-112.4646,42.8724,"Downey, CA",-118.1312,33.9379,Is St. Joseph MO closer to Pocatello ID or Downey CA?,"Pocatello, ID",0
"Cleveland, TN",-84.8707,35.1817,"Smyrna, GA",-84.5168,33.8633,"Largo, FL",-82.7711,27.9088,Is Cleveland TN closer to Smyrna GA or Largo FL?,"Smyrna, GA",0
"Sumter, SC",-80.393,33.9392,"Seaside, CA",-121.8191,36.6224,"Bonita Springs, FL",-81.7861,26.3559,Is Sumter SC closer to Seaside CA or Bonita Springs FL?,"Bonita Springs, FL",1
"Thornton, CO",-104.9438,39.9197,"Rio Rancho, NM",-106.6981,35.2872,"Vista, CA",-117.2386,33.1896,Is Thornton CO closer to Rio Rancho NM or Vista CA?,"Rio Rancho, NM",0
"Springfield, MA",-72.5395,42.1155,"Cape Coral, FL",-81.9956,26.6446,"Montebello, CA",-118.1108,34.0155,Is Springfield MA closer to Cape Coral FL or Montebello CA?,"Cape Coral, FL",0
"Chandler, AZ",-111.8516,33.2826,"Davie, FL",-80.287,26.0789,"Porterville, CA",-119.0338,36.0644,Is Chandler AZ closer to Davie FL or Porterville CA?,"Davie, FL",1
"Flint, MI",-83.6922,43.0235,"Fall River, MA",-71.1014,41.7137,"Cincinnati, OH",-84.5061,39.1413,Is Flint MI closer to Fall River MA or Cincinnati OH?,"Fall River, MA",1
"Pueblo, CO",-104.6112,38.2705,"Waterbury, CT",-73.0361,41.5583,"Warwick, RI",-71.4334,41.7062,Is Pueblo CO closer to Waterbury CT or Warwick RI?,"Waterbury, CT",0
"Cathedral City, CA",-116.4642,33.8363,"Forney, TX",-96.4529,32.744,"Burbank, CA",-118.3235,34.1879,Is Cathedral City CA closer to Forney TX or Burbank CA?,"Burbank, CA",1
"Petaluma, CA",-122.6267,38.2423,"Taunton, MA",-71.0943,41.9036,"St. Petersburg, FL",-82.6652,27.7931,Is Petaluma CA closer to Taunton MA or St. Petersburg FL?,"St. Petersburg, FL",1
"Florence, SC",-79.7877,34.1781,"Leominster, MA",-71.7717,42.5209,"Brooklyn Park, MN",-93.3505,45.1112,Is Florence SC closer to Leominster MA or Brooklyn Park MN?,"Brooklyn Park, MN",0
"Dearborn, MI",-83.2129,42.3127,"El Paso de Robles, CA",-120.656,35.6394,"Revere, MA",-71.0036,42.4192,Is Dearborn MI closer to El Paso de Robles CA or Revere MA?,"Revere, MA",1
"Winter Haven, FL",-81.7017,28.0118,"Bethlehem, PA",-75.3679,40.6266,"Bridgeport, CT",-73.1953,41.1918,Is Winter Haven FL closer to Bethlehem PA or Bridgeport CT?,"Bethlehem, PA",0
"Revere, MA",-71.0036,42.4192,"Gardena, CA",-118.3073,33.8944,"Haverhill, MA",-71.0871,42.7838,Is Revere MA closer to Gardena CA or Haverhill MA?,"Haverhill, MA",1
"Rockford, IL",-89.0641,42.2597,"Johnson City, TN",-82.3803,36.3406,"Bellevue, WA",-122.1535,47.5951,Is Rockford IL closer to Johnson City TN or Bellevue WA?,"Johnson City, TN",0
"Peoria, AZ",-112.2989,33.7844,"Ontario, CA",-117.6064,34.0393,"Weymouth, MA",-70.9466,42.1984,Is Peoria AZ closer to Ontario CA or Weymouth MA?,"Ontario, CA",0
"Mansfield, TX",-97.1211,32.569,"Blacksburg, VA",-80.4279,37.23,"Baytown, TX",-94.9669,29.7586,Is Mansfield TX closer to Blacksburg VA or Baytown TX?,"Baytown, TX",1
"Costa Mesa, CA",-117.9135,33.6667,"Port Huron, MI",-82.4387,42.9822,"Riverside, CA",-117.3948,33.9381,Is Costa Mesa CA closer to Port Huron MI or Riverside CA?,"Riverside, CA",1
"Livermore, CA",-121.7608,37.6862,"Rock Hill, SC",-81.0244,34.9416,"Stamford, CT",-73.5583,41.1035,Is Livermore CA closer to Rock Hill SC or Stamford CT?,"Stamford, CT",0
"Enterprise, NV",-115.2208,36.0164,"Citrus Heights, CA",-121.288,38.6948,"Wesley Chapel, FL",-82.3238,28.2106,Is Enterprise NV closer to Citrus Heights CA or Wesley Chapel FL?,"Citrus Heights, CA",0
"Medford, OR",-122.8537,42.3372,"Apex, NC",-78.8728,35.7239,"Green Bay, WI",-87.9896,44.515,Is Medford OR closer to Apex NC or Green Bay WI?,"Green Bay, WI",1
"Newark, NJ",-74.1725,40.7245,"Davenport, IA",-90.6052,41.5563,"Broomfield, CO",-105.0527,39.9541,Is Newark NJ closer to Davenport IA or Broomfield CO?,"Davenport, IA",0
"Noblesville, IN",-86.0042,40.0354,"Gainesville, GA",-83.8301,34.2903,"Colorado Springs, CO",-104.7606,38.8674,Is Noblesville IN closer to Gainesville GA or Colorado Springs CO?,"Colorado Springs, CO",0
"Rancho Cordova, CA",-121.2523,38.574,"Palmdale, CA",-118.1057,34.5944,"Columbia, SC",-80.9037,34.0376,Is Rancho Cordova CA closer to Palmdale CA or Columbia SC?,"Palmdale, CA",0
"Orlando, FL",-81.3369,28.4772,"Rialto, CA",-117.3894,34.1174,"O'Fallon, MO",-90.7175,38.785,Is Orlando FL closer to Rialto CA or O'Fallon MO?,"Rialto, CA",1
"Cedar Rapids, IA",-91.6782,41.9665,"Walla Walla, WA",-118.3366,46.067,"Daphne, AL",-87.8866,30.6286,Is Cedar Rapids IA closer to Walla Walla WA or Daphne AL?,"Walla Walla, WA",1
"Arden-Arcade, CA",-121.381,38.6034,"Broomfield, CO",-105.0527,39.9541,"Bremerton, WA",-122.7122,47.5436,Is Arden-Arcade CA closer to Broomfield CO or Bremerton WA?,"Bremerton, WA",1
"Arden-Arcade, CA",-121.381,38.6034,"Denver, CO",-104.8759,39.7621,"Normal, IL",-88.9881,40.5218,Is Arden-Arcade CA closer to Denver CO or Normal IL?,"Denver, CO",0
"Davis, CA",-121.7365,38.5552,"The Woodlands, TX",-95.5134,30.1738,"Woodland, CA",-121.75,38.6712,Is Davis CA closer to The Woodlands TX or Woodland CA?,"Woodland, CA",1
"Pearland, TX",-95.3215,29.5585,"Anaheim, CA",-117.8572,33.839,"St. Cloud, FL",-81.2829,28.2294,Is Pearland TX closer to Anaheim CA or St. Cloud FL?,"Anaheim, CA",1
"Aurora, CO",-104.7273,39.7087,"Casper, WY",-106.3207,42.842,"Columbus, GA",-84.8771,32.51,Is Aurora CO closer to Casper WY or Columbus GA?,"Columbus, GA",0
"Yakima, WA",-120.5496,46.5923,"Brunswick, GA",-81.474,31.145,"Nampa, ID",-116.5631,43.5845,Is Yakima WA closer to Brunswick GA or Nampa ID?,"Nampa, ID",1
"Thornton, CO",-104.9438,39.9197,"Temecula, CA",-117.1315,33.4928,"Pueblo, CO",-104.6112,38.2705,Is Thornton CO closer to Temecula CA or Pueblo CO?,"Pueblo, CO",1
"Bloomington, MN",-93.3151,44.8306,"Tacoma, WA",-122.4531,47.2431,"West Bend, WI",-88.1824,43.4184,Is Bloomington MN closer to Tacoma WA or West Bend WI?,"Tacoma, WA",1
"Brownsville, TX",-97.4565,25.998,"Abilene, TX",-99.7384,32.4543,"West Covina, CA",-117.9112,34.0555,Is Brownsville TX closer to Abilene TX or West Covina CA?,"West Covina, CA",0
"Tallahassee, FL",-84.2526,30.4551,"Carrollton, TX",-96.8999,32.989,"Shawnee, KS",-94.8076,39.0158,Is Tallahassee FL closer to Carrollton TX or Shawnee KS?,"Carrollton, TX",0
"Morristown, TN",-83.3006,36.2046,"Plantation, FL",-80.2617,26.126,"Kissimmee, FL",-81.4164,28.3042,Is Morristown TN closer to Plantation FL or Kissimmee FL?,"Plantation, FL",1
"Montgomery, AL",-86.2666,32.3473,"Silver Spring, MD",-77.0207,39.0028,"San Rafael, CA",-122.5222,37.9905,Is Montgomery AL closer to Silver Spring MD or San Rafael CA?,"Silver Spring, MD",0
"Davenport, IA",-90.6052,41.5563,"Springfield, OH",-83.7957,39.9297,"Beaumont, CA",-116.9766,33.9076,Is Davenport IA closer to Springfield OH or Beaumont CA?,"Springfield, OH",0
"Murfreesboro, TN",-86.4119,35.8492,"Round Rock, TX",-97.666,30.5254,"Lakewood, CO",-105.1168,39.6977,Is Murfreesboro TN closer to Round Rock TX or Lakewood CO?,"Round Rock, TX",0
"Waldorf, MD",-76.9195,38.6085,"St. Cloud, FL",-81.2829,28.2294,"Forney, TX",-96.4529,32.744,Is Waldorf MD closer to St. Cloud FL or Forney TX?,"St. Cloud, FL",0
"Davie, FL",-80.287,26.0789,"Sioux City, IA",-96.3901,42.4959,"Benton Harbor, MI",-86.4488,42.1159,Is Davie FL closer to Sioux City IA or Benton Harbor MI?,"Sioux City, IA",1
"Dundalk, MD",-76.4942,39.2703,"Oshkosh, WI",-88.5619,44.0228,"Plano, TX",-96.7487,33.0502,Is Dundalk MD closer to Oshkosh WI or Plano TX?,"Plano, TX",0
"Tucson, AZ",-110.8782,32.1545,"Lowell, MA",-71.3217,42.6389,"Brunswick, GA",-81.474,31.145,Is Tucson AZ closer to Lowell MA or Brunswick GA?,"Lowell, MA",1
"Broomfield, CO",-105.0527,39.9541,"Levittown, PA",-74.853,40.1537,"Troy, MI",-83.1457,42.5818,Is Broomfield CO closer to Levittown PA or Troy MI?,"Levittown, PA",1
