,City1,City1_long,City1_lat,City2,City2_long,City2_lat,City3,City3_long,City3_lat
44,"Fond du Lac, WI",-88.4396,43.7718,"Norwalk, CT",-73.4215,41.1144,"Jefferson City, MO",-92.1759,38.5676
45,"Parkersburg, WV",-81.542,39.2624,"Round Lake Beach, IL",-88.0811,42.379,"Sandy, UT",-111.8505,40.571
46,"Westland, MI",-83.3805,42.3192,"Lexington, KY",-84.4587,38.0423,"Lima, OH",-84.1121,40.741
47,"Dundalk, MD",-76.4942,39.2703,"Joplin, MO",-94.5018,37.0758,"Anchorage, AK",-149.1091,61.1508
48,"Harrisburg, PA",-76.8843,40.2752,"Spring, TX",-95.383,30.0613,"New York, NY",-73.9249,40.6943
49,"Frisco, TX",-96.8215,33.1555,"Asheville, NC",-82.5536,35.5704,"Coeur d'Alene, ID",-116.7935,47.7041
50,"Salem, OR",-123.0246,44.9231,"Des Moines, IA",-93.6105,41.5725,"Bismarck, ND",-100.7694,46.8144
51,"Sugar Land, TX",-95.6357,29.5935,"Kingsport, TN",-82.5453,36.5224,"Decatur, AL",-86.9906,34.573
52,"Livermore, CA",-121.7608,37.6862,"Springdale, AR",-94.1574,36.1899,"Novi, MI",-83.4893,42.4786
53,"Warner Robins, GA",-83.6529,32.597,"Fort Myers, FL",-81.8303,26.6195,"Lafayette, LA",-92.0323,30.2084
54,"North Charleston, SC",-80.0722,32.9066,"San Rafael, CA",-122.5222,37.9905,"Bay City, MI",-83.8886,43.5903
55,"South Fulton, GA",-84.5802,33.6269,"Flagstaff, AZ",-111.6195,35.1872,"Paramount, CA",-118.1652,33.8976
56,"Schenectady, NY",-73.9276,42.8025,"Leominster, MA",-71.7717,42.5209,"Indio, CA",-116.2346,33.7346
57,"Forney, TX",-96.4529,32.744,"Denver, CO",-104.8759,39.7621,"San Tan Valley, AZ",-111.5472,33.1879
58,"High Point, NC",-79.9938,35.9907,"San Mateo, CA",-122.3122,37.5521,"Fargo, ND",-96.8292,46.8652
59,"Peoria, IL",-89.6153,40.752,"Jacksonville, NC",-77.3941,34.7288,"Rosemead, CA",-118.0823,34.0689
60,"Palm Harbor, FL",-82.7481,28.0847,"Berkeley, CA",-122.276,37.8723,"Costa Mesa, CA",-117.9135,33.6667
61,"Lawrence, KS",-95.2641,38.9597,"Cape Girardeau, MO",-89.5597,37.3108,"Gadsden, AL",-86.0156,34.009
62,"Utica, NY",-75.226,43.0961,"Allentown, PA",-75.4756,40.5961,"Wichita Falls, TX",-98.5291,33.9072
63,"Fort Worth, TX",-97.3473,32.7811,"Kendale Lakes, FL",-80.4078,25.7081,"El Centro, CA",-115.5586,32.7867
64,"Kansas City, KS",-94.7443,39.1234,"Colorado Springs, CO",-104.7606,38.8674,"Ithaca, NY",-76.5032,42.4442
65,"Greenwood, IN",-86.1073,39.6019,"South Whittier, CA",-118.0311,33.9336,"Lakeland, FL",-81.9545,28.0556
66,"Stockton, CA",-121.3109,37.9765,"Portland, OR",-122.65,45.5372,"Queens, NY",-73.7976,40.7498
67,"Indianapolis, IN",-86.1458,39.7771,"Miami Gardens, FL",-80.2426,25.9433,"Murfreesboro, TN",-86.4119,35.8492
68,"Portsmouth, NH",-70.7826,43.058,"Round Rock, TX",-97.666,30.5254,"Dubuque, IA",-90.7067,42.5008
69,"North Miami, FL",-80.1686,25.9007,"Oshkosh, WI",-88.5619,44.0228,"Manhattan, NY",-73.9662,40.7834
70,"Houston, TX",-95.3889,29.7863,"Oakland, CA",-122.2165,37.7903,"Delray Beach, FL",-80.0905,26.455
71,"Shawnee, KS",-94.8076,39.0158,"Vancouver, WA",-122.5967,45.6366,"Battle Creek, MI",-85.2296,42.2986
72,"Weston, FL",-80.4054,26.1006,"St. Cloud, MN",-94.1718,45.5339,"Richland, WA",-119.2938,46.2824
73,"Turlock, CA",-120.8588,37.5053,"Twin Falls, ID",-114.4615,42.5645,"Fresno, CA",-119.7941,36.7831
74,"Hialeah, FL",-80.3046,25.8696,"West Palm Beach, FL",-80.1316,26.7468,"Oakland, CA",-122.2165,37.7903
75,"Lancaster, CA",-118.1753,34.6935,"Irving, TX",-96.9702,32.8584,"Redding, CA",-122.365,40.5698
76,"Carson, CA",-118.2559,33.8374,"Franklin, TN",-86.8525,35.9216,"Stillwater, OK",-97.074,36.1316
77,"Somerville, MA",-71.1013,42.3908,"Owensboro, KY",-87.1173,37.7574,"Mayagüez, PR",-67.1397,18.2003
78,"Yakima, WA",-120.5496,46.5923,"Levittown, NY",-73.5125,40.7241,"Fort Lauderdale, FL",-80.1464,26.1412
79,"Tulare, CA",-119.34,36.1996,"Port Charlotte, FL",-82.114,26.9918,"Wheaton, IL",-88.1083,41.8561
80,"League City, TX",-95.1087,29.4873,"Green Bay, WI",-87.9896,44.515,"La Crosse, WI",-91.2268,43.824
81,"Pico Rivera, CA",-118.0888,33.9902,"Farmington, NM",-108.1823,36.7555,"Stonecrest, GA",-84.1372,33.6842
82,"League City, TX",-95.1087,29.4873,"Pomona, CA",-117.7626,34.0585,"Kissimmee, FL",-81.4164,28.3042
83,"Shoreline, WA",-122.3426,47.7564,"Fayetteville, AR",-94.166,36.0713,"San Clemente, CA",-117.6103,33.4498
84,"Taylorsville, UT",-111.9493,40.657,"Hesperia, CA",-117.3147,34.3975,"Providence, RI",-71.4187,41.823
85,"Marysville, WA",-122.1561,48.0809,"Slidell, LA",-89.7826,30.2881,"New Haven, CT",-72.9246,41.3112
86,"Parma, OH",-81.7286,41.3843,"Broken Arrow, OK",-95.7809,36.0365,"Loveland, CO",-105.0623,40.4166
87,"Irvine, CA",-117.7738,33.6772,"Bolingbrook, IL",-88.1019,41.6903,"Conway, AR",-92.4694,35.0754
88,"Monessen, PA",-79.8828,40.1519,"Lake Jackson, TX",-95.4522,29.0516,"Dothan, AL",-85.4069,31.2335
89,"Sparks, NV",-119.7157,39.5729,"Spokane, WA",-117.433,47.6671,"Columbia, MD",-76.859,39.2004
90,"St. Joseph, MO",-94.821,39.7599,"Pocatello, ID",-112.4646,42.8724,"Downey, CA",-118.1312,33.9379
91,"Cleveland, TN",-84.8707,35.1817,"Smyrna, GA",-84.5168,33.8633,"Largo, FL",-82.7711,27.9088
92,"Sumter, SC",-80.393,33.9392,"Seaside, CA",-121.8191,36.6224,"Bonita Springs, FL",-81.7861,26.3559
93,"Thornton, CO",-104.9438,39.9197,"Rio Rancho, NM",-106.6981,35.2872,"Vista, CA",-117.2386,33.1896
94,"Springfield, MA",-72.5395,42.1155,"Cape Coral, FL",-81.9956,26.6446,"Montebello, CA",-118.1108,34.0155
95,"Chandler, AZ",-111.8516,33.2826,"Davie, FL",-80.287,26.0789,"Porterville, CA",-119.0338,36.0644
96,"Flint, MI",-83.6922,43.0235,"Fall River, MA",-71.1014,41.7137,"Cincinnati, OH",-84.5061,39.1413
97,"Pueblo, CO",-104.6112,38.2705,"Waterbury, CT",-73.0361,41.5583,"Warwick, RI",-71.4334,41.7062
98,"Cathedral City, CA",-116.4642,33.8363,"Forney, TX",-96.4529,32.744,"Burbank, CA",-118.3235,34.1879
99,"Petaluma, CA",-122.6267,38.2423,"Taunton, MA",-71.0943,41.9036,"St. Petersburg, FL",-82.6652,27.7931
100,"Florence, SC",-79.7877,34.1781,"Leominster, MA",-71.7717,42.5209,"Brooklyn Park, MN",-93.3505,45.1112
101,"Dearborn, MI",-83.2129,42.3127,"El Paso de Robles, CA",-120.656,35.6394,"Revere, MA",-71.0036,42.4192
102,"Winter Haven, FL",-81.7017,28.0118,"Bethlehem, PA",-75.3679,40.6266,"Bridgeport, CT",-73.1953,41.1918
103,"Revere, MA",-71.0036,42.4192,"Gardena, CA",-118.3073,33.8944,"Haverhill, MA",-71.0871,42.7838
104,"Rockford, IL",-89.0641,42.2597,"Johnson City, TN",-82.3803,36.3406,"Bellevue, WA",-122.1535,47.5951
105,"Peoria, AZ",-112.2989,33.7844,"Ontario, CA",-117.6064,34.0393,"Weymouth, MA",-70.9466,42.1984
106,"Mansfield, TX",-97.1211,32.569,"Blacksburg, VA",-80.4279,37.23,"Baytown, TX",-94.9669,29.7586
107,"Costa Mesa, CA",-117.9135,33.6667,"Port Huron, MI",-82.4387,42.9822,"Riverside, CA",-117.3948,33.9381
108,"Livermore, CA",-121.7608,37.6862,"Rock Hill, SC",-81.0244,34.9416,"Stamford, CT",-73.5583,41.1035
109,"Enterprise, NV",-115.2208,36.0164,"Citrus Heights, CA",-121.288,38.6948,"Wesley Chapel, FL",-82.3238,28.2106
110,"Medford, OR",-122.8537,42.3372,"Apex, NC",-78.8728,35.7239,"Green Bay, WI",-87.9896,44.515
111,"Newark, NJ",-74.1725,40.7245,"Davenport, IA",-90.6052,41.5563,"Broomfield, CO",-105.0527,39.9541
112,"Noblesville, IN",-86.0042,40.0354,"Gainesville, GA",-83.8301,34.2903,"Colorado Springs, CO",-104.7606,38.8674
113,"Rancho Cordova, CA",-121.2523,38.574,"Palmdale, CA",-118.1057,34.5944,"Columbia, SC",-80.9037,34.0376
114,"Orlando, FL",-81.3369,28.4772,"Rialto, CA",-117.3894,34.1174,"O'Fallon, MO",-90.7175,38.785
115,"Cedar Rapids, IA",-91.6782,41.9665,"Walla Walla, WA",-118.3366,46.067,"Daphne, AL",-87.8866,30.6286
116,"Arden-Arcade, CA",-121.381,38.6034,"Broomfield, CO",-105.0527,39.9541,"Bremerton, WA",-122.7122,47.5436
117,"Arden-Arcade, CA",-121.381,38.6034,"Denver, CO",-104.8759,39.7621,"Normal, IL",-88.9881,40.5218
118,"Davis, CA",-121.7365,38.5552,"The Woodlands, TX",-95.5134,30.1738,"Woodland, CA",-121.75,38.6712
119,"Pearland, TX",-95.3215,29.5585,"Anaheim, CA",-117.8572,33.839,"St. Cloud, FL",-81.2829,28.2294
120,"Aurora, CO",-104.7273,39.7087,"Casper, WY",-106.3207,42.842,"Columbus, GA",-84.8771,32.51
121,"Yakima, WA",-120.5496,46.5923,"Brunswick, GA",-81.474,31.145,"Nampa, ID",-116.5631,43.5845
122,"Thornton, CO",-104.9438,39.9197,"Temecula, CA",-117.1315,33.4928,"Pueblo, CO",-104.6112,38.2705
123,"Bloomington, MN",-93.3151,44.8306,"Tacoma, WA",-122.4531,47.2431,"West Bend, WI",-88.1824,43.4184
124,"Brownsville, TX",-97.4565,25.998,"Abilene, TX",-99.7384,32.4543,"West Covina, CA",-117.9112,34.0555
125,"Tallahassee, FL",-84.2526,30.4551,"Carrollton, TX",-96.8999,32.989,"Shawnee, KS",-94.8076,39.0158
126,"Morristown, TN",-83.3006,36.2046,"Plantation, FL",-80.2617,26.126,"Kissimmee, FL",-81.4164,28.3042
127,"Montgomery, AL",-86.2666,32.3473,"Silver Spring, MD",-77.0207,39.0028,"San Rafael, CA",-122.5222,37.9905
128,"Davenport, IA",-90.6052,41.5563,"Springfield, OH",-83.7957,39.9297,"Beaumont, CA",-116.9766,33.9076
129,"Murfreesboro, TN",-86.4119,35.8492,"Round Rock, TX",-97.666,30.5254,"Lakewood, CO",-105.1168,39.6977
130,"Waldorf, MD",-76.9195,38.6085,"St. Cloud, FL",-81.2829,28.2294,"Forney, TX",-96.4529,32.744
131,"Davie, FL",-80.287,26.0789,"Sioux City, IA",-96.3901,42.4959,"Benton Harbor, MI",-86.4488,42.1159
132,"Dundalk, MD",-76.4942,39.2703,"Oshkosh, WI",-88.5619,44.0228,"Plano, TX",-96.7487,33.0502
133,"Tucson, AZ",-110.8782,32.1545,"Lowell, MA",-71.3217,42.6389,"Brunswick, GA",-81.474,31.145
134,"Broomfield, CO",-105.0527,39.9541,"Levittown, PA",-74.853,40.1537,"Troy, MI",-83.1457,42.5818
135,"Longmont, CO",-105.1005,40.1686,"Arroyo Grande, CA",-120.5845,35.1241,"St. Joseph, MO",-94.821,39.7599
136,"Palm Harbor, FL",-82.7481,28.0847,"Des Plaines, IL",-87.9009,42.0345,"Allen, TX",-96.6735,33.1088
137,"White Plains, NY",-73.7549,41.022,"Odessa, TX",-102.3406,31.8831,"League City, TX",-95.1087,29.4873
138,"Lancaster, CA",-118.1753,34.6935,"Apex, NC",-78.8728,35.7239,"Ankeny, IA",-93.6033,41.7285
139,"Omaha, NE",-96.0522,41.2627,"Norfolk, VA",-76.259,36.8945,"South Hill, WA",-122.2848,47.1203
140,"Syracuse, NY",-76.1438,43.0409,"Apex, NC",-78.8728,35.7239,"Portland, OR",-122.65,45.5372
141,"Columbia, SC",-80.9037,34.0376,"Concord, NC",-80.6366,35.3933,"Irving, TX",-96.9702,32.8584
142,"Warren, MI",-83.027,42.4934,"Norwalk, CA",-118.0829,33.9069,"Portsmouth, NH",-70.7826,43.058
143,"Davis, CA",-121.7365,38.5552,"Wheeling, WV",-80.6951,40.0752,"Sandy Springs, GA",-84.3703,33.9366
144,"Cicero, IL",-87.7593,41.8445,"Paradise, NV",-115.1369,36.0807,"Johnstown, PA",-78.9193,40.3258
145,"Delray Beach, FL",-80.0905,26.455,"Weymouth, MA",-70.9466,42.1984,"Brooklyn Park, MN",-93.3505,45.1112
146,"East Stroudsburg, PA",-75.1779,41.0023,"Eden Prairie, MN",-93.4595,44.8488,"Fresno, CA",-119.7941,36.7831
147,"Fountainebleau, FL",-80.3458,25.7723,"Parma, OH",-81.7286,41.3843,"Jonesboro, AR",-90.6791,35.8212
148,"Ithaca, NY",-76.5032,42.4442,"Irving, TX",-96.9702,32.8584,"Sacramento, CA",-121.4683,38.5667
149,"Arvada, CO",-105.1511,39.8321,"Pittsfield, MA",-73.2605,42.4517,"Kissimmee, FL",-81.4164,28.3042
150,"El Paso de Robles, CA",-120.656,35.6394,"Warren, MI",-83.027,42.4934,"Sanford, FL",-81.276,28.7893
151,"Apopka, FL",-81.5304,28.7014,"La Crosse, WI",-91.2268,43.824,"Irvine, CA",-117.7738,33.6772
152,"Johnstown, PA",-78.9193,40.3258,"Racine, WI",-87.8135,42.7274,"The Hammocks, FL",-80.4483,25.67
153,"St. Cloud, FL",-81.2829,28.2294,"Cary, NC",-78.8191,35.782,"Port Arthur, TX",-93.9264,29.8554
154,"Miami Gardens, FL",-80.2426,25.9433,"Spring, TX",-95.383,30.0613,"Mansfield, OH",-82.5275,40.7656
155,"Brentwood, NY",-73.2522,40.7839,"Forney, TX",-96.4529,32.744,"Cathedral City, CA",-116.4642,33.8363
156,"Columbia, SC",-80.9037,34.0376,"Kenner, LA",-90.2549,30.0109,"Indio, CA",-116.2346,33.7346
157,"Tacoma, WA",-122.4531,47.2431,"Texarkana, TX",-94.0815,33.4487,"Valdosta, GA",-83.2788,30.8502
158,"Redwood City, CA",-122.2252,37.5026,"Garland, TX",-96.6305,32.91,"Davis, CA",-121.7365,38.5552
159,"Longview, WA",-122.9629,46.1461,"Paterson, NJ",-74.1624,40.9147,"Springfield, IL",-89.6538,39.771
160,"Germantown, MD",-77.2643,39.1755,"Minnetonka, MN",-93.4598,44.9322,"Cupertino, CA",-122.0465,37.3168
161,"North Las Vegas, NV",-115.0901,36.288,"Huntersville, NC",-80.8727,35.4058,"Manchester, NH",-71.4447,42.9848
162,"Barnstable, MA",-70.3599,41.6722,"Hazleton, PA",-75.9724,40.9504,"Spring, TX",-95.383,30.0613
163,"Baton Rouge, LA",-91.131,30.4418,"Aspen Hill, MD",-77.0823,39.0928,"Boynton Beach, FL",-80.0811,26.5281
164,"Tracy, CA",-121.4522,37.7269,"Bentonville, AR",-94.2306,36.3546,"Hagerstown, MD",-77.7217,39.6401
165,"Waco, TX",-97.1881,31.5598,"Rochester Hills, MI",-83.1563,42.6645,"Barnstable, MA",-70.3599,41.6722
166,"Santa Fe, NM",-105.9819,35.6619,"Bethesda, MD",-77.1188,38.9866,"Ponce, PR",-66.6198,18.012
167,"Bristol, TN",-82.2154,36.5572,"Arcadia, CA",-118.0373,34.1342,"Pawtucket, RI",-71.3743,41.8744
168,"Methuen Town, MA",-71.1889,42.734,"Chico, CA",-121.8152,39.7575,"Woodbury, MN",-92.923,44.9056
169,"Tulare, CA",-119.34,36.1996,"Springfield, OH",-83.7957,39.9297,"Fond du Lac, WI",-88.4396,43.7718
170,"Taunton, MA",-71.0943,41.9036,"Lakeland, FL",-81.9545,28.0556,"Pico Rivera, CA",-118.0888,33.9902
171,"Brunswick, GA",-81.474,31.145,"Alexandria, LA",-92.4702,31.2923,"Florence, AL",-87.6654,34.8303
172,"Hialeah, FL",-80.3046,25.8696,"Coconut Creek, FL",-80.1842,26.2803,"Muncie, IN",-85.395,40.1989
173,"San Diego, CA",-117.1225,32.8312,"Lebanon, PA",-76.4227,40.3412,"Taylorsville, UT",-111.9493,40.657
174,"Toledo, OH",-83.5822,41.6639,"Dover, DE",-75.5203,39.161,"Jackson, MS",-90.2124,32.3163
175,"Lewiston, ME",-70.1681,44.0915,"Athens, GA",-83.3689,33.9508,"Mobile, AL",-88.1162,30.6783
176,"High Point, NC",-79.9938,35.9907,"North Richland Hills, TX",-97.218,32.8605,"New Haven, CT",-72.9246,41.3112
177,"Burnsville, MN",-93.2795,44.7648,"New Braunfels, TX",-98.1148,29.6994,"Skokie, IL",-87.74,42.0359
178,"Topeka, KS",-95.6955,39.0346,"Cedar Park, TX",-97.8196,30.5106,"Vista, CA",-117.2386,33.1896
179,"Lafayette, LA",-92.0323,30.2084,"San Rafael, CA",-122.5222,37.9905,"Smyrna, GA",-84.5168,33.8633
180,"Chicago, IL",-87.6862,41.8373,"Lake Havasu City, AZ",-114.3113,34.5006,"Nashua, NH",-71.491,42.7491
181,"Alafaya, FL",-81.1865,28.5278,"Fresno, CA",-119.7941,36.7831,"Hagerstown, MD",-77.7217,39.6401
182,"Medford, MA",-71.1087,42.4234,"Bossier City, LA",-93.6666,32.5227,"Miami Beach, FL",-80.1396,25.8171
183,"Middletown, OH",-84.366,39.5032,"Winchester, VA",-78.1746,39.1735,"Federal Way, WA",-122.3358,47.3091
184,"Port Huron, MI",-82.4387,42.9822,"Sacramento, CA",-121.4683,38.5667,"Springfield, MA",-72.5395,42.1155
185,"Portsmouth, NH",-70.7826,43.058,"Jackson, MI",-84.4037,42.2431,"Santa Monica, CA",-118.4813,34.0232
186,"Richmond, CA",-122.339,37.9477,"Philadelphia, PA",-75.1339,40.0077,"Pasco, WA",-119.1304,46.2506
187,"Athens, GA",-83.3689,33.9508,"Los Lunas, NM",-106.7803,34.8115,"Frisco, TX",-96.8215,33.1555
188,"Carson, CA",-118.2559,33.8374,"Poughkeepsie, NY",-73.921,41.6949,"Pico Rivera, CA",-118.0888,33.9902
189,"Jersey City, NJ",-74.0682,40.7161,"Glens Falls, NY",-73.6459,43.3109,"Denton, TX",-97.1419,33.2176
190,"Elkhart, IN",-85.9628,41.6916,"Wilmington, DE",-75.5413,39.7415,"Chula Vista, CA",-117.0145,32.6281
191,"Victorville, CA",-117.3536,34.5277,"Charlotte, NC",-80.8304,35.208,"Indianapolis, IN",-86.1458,39.7771
192,"Tacoma, WA",-122.4531,47.2431,"Medford, OR",-122.8537,42.3372,"Bakersfield, CA",-119.0359,35.3529
193,"Escondido, CA",-117.0722,33.1347,"Spring Valley, NV",-115.2619,36.0987,"Lincoln, NE",-96.6788,40.809
194,"Houma, LA",-90.7058,29.5799,"Davie, FL",-80.287,26.0789,"Hampton, VA",-76.363,37.0551
195,"Conway, AR",-92.4694,35.0754,"Omaha, NE",-96.0522,41.2627,"Cape Girardeau, MO",-89.5597,37.3108
196,"Sierra Vista, AZ",-110.3153,31.563,"Portsmouth, VA",-76.354,36.8468,"League City, TX",-95.1087,29.4873
197,"Pottstown, PA",-75.6444,40.2507,"Carbondale, IL",-89.2238,37.7221,"Lake Charles, LA",-93.2122,30.2012
198,"Fond du Lac, WI",-88.4396,43.7718,"Hanford, CA",-119.6549,36.3274,"Hoboken, NJ",-74.0279,40.7453
199,"Frederick, MD",-77.4141,39.4336,"The Hammocks, FL",-80.4483,25.67,"El Paso de Robles, CA",-120.656,35.6394
200,"Green Bay, WI",-87.9896,44.515,"Lake Elsinore, CA",-117.3344,33.6847,"South Hill, WA",-122.2848,47.1203
201,"Killeen, TX",-97.7296,31.0754,"Peoria, IL",-89.6153,40.752,"Deerfield Beach, FL",-80.1277,26.305
202,"Lubbock, TX",-101.8878,33.5659,"Cartersville, GA",-84.8007,34.1639,"Lawrence, MA",-71.1626,42.7003
203,"Redlands, CA",-117.1712,34.0511,"Bronx, NY",-73.8662,40.8501,"Lakewood, WA",-122.5299,47.1628
204,"Lawrence, MA",-71.1626,42.7003,"Milpitas, CA",-121.8921,37.4339,"Smyrna, TN",-86.5253,35.9722
205,"Bronx, NY",-73.8662,40.8501,"Saginaw, MI",-83.9501,43.4199,"Bayamón, PR",-66.1635,18.3793
206,"Escondido, CA",-117.0722,33.1347,"Kettering, OH",-84.1495,39.6957,"San Ramon, CA",-121.9365,37.7625
207,"Muncie, IN",-85.395,40.1989,"Apple Valley, CA",-117.2104,34.5328,"Hoboken, NJ",-74.0279,40.7453
208,"Sparks, NV",-119.7157,39.5729,"Flagstaff, AZ",-111.6195,35.1872,"San Francisco, CA",-122.443,37.7562
209,"Brownsville, TX",-97.4565,25.998,"Highlands Ranch, CO",-104.9708,39.5419,"Lynn, MA",-70.9663,42.4779
210,"Hickory, NC",-81.323,35.7425,"Nashville, TN",-86.7843,36.1715,"Livermore, CA",-121.7608,37.6862
211,"Lorain, OH",-82.184,41.4409,"Portland, ME",-70.2715,43.6773,"Tacoma, WA",-122.4531,47.2431
212,"Edinburg, TX",-98.1596,26.3197,"Longmont, CO",-105.1005,40.1686,"New Bern, NC",-77.0723,35.0955
213,"Brentwood, NY",-73.2522,40.7839,"Meridian, ID",-116.3968,43.6112,"Metairie, LA",-90.178,29.9977
214,"Bridgeport, CT",-73.1953,41.1918,"Wichita Falls, TX",-98.5291,33.9072,"Concord, NC",-80.6366,35.3933
215,"Boynton Beach, FL",-80.0811,26.5281,"Peoria, IL",-89.6153,40.752,"Eagan, MN",-93.1638,44.8169
216,"Albany, GA",-84.1762,31.5776,"Salisbury, MD",-75.5867,38.3756,"San Mateo, CA",-122.3122,37.5521
